timestamp,timestamp_sample,pub_timestamp,time_last_fuse,device_id,observation,observation_variance,innovation,innovation_filtered,innovation_variance,test_ratio,test_ratio_filtered,publisher_id,estimator_instance,innovation_rejected,fused
1771685527484000,1771685527326000,0,1771685527332000,0,-487.991,0.5625,-0.035308838,-0.013362783,0.575506,8.665168e-05,-2.088358e-05,0,0,0,1
1771685527532000,1771685527378000,0,1771685527380000,0,-487.992,0.5625,-0.038146973,-0.015697526,0.57547694,0.00010114681,-2.844461e-05,0,0,0,1
1771685527588000,1771685527430000,0,1771685527436000,0,-488.004,0.5625,-0.033172607,-0.01734373,0.575506,7.648378e-05,-3.297004e-05,0,0,0,1
1771685527636000,1771685527482000,0,1771685527484000,0,-488.014,0.5625,-0.031555176,-0.01868249,0.57547694,6.9210706e-05,-3.638402e-05,0,0,0,1
1771685527692000,1771685527534000,0,1771685527540000,0,-488.019,0.5625,-0.03994751,-0.020685716,0.575506,0.00011091482,-4.3405038e-05,0,0,0,1
1771685527740000,1771685527586000,0,1771685527588000,0,-488.028,0.5625,-0.044311523,-0.022911336,0.57547694,0.00013647888,-5.2172865e-05,0,0,0,1
1771685527796000,1771685527638000,0,1771685527644000,0,-488.034,0.5625,-0.05706787,-0.026128981,0.575506,0.00022635677,-6.8581496e-05,0,0,0,1
1771685527844000,1771685527690000,0,1771685527692000,0,-488.063,0.5625,-0.04586792,-0.027988447,0.57547694,0.0001462346,-7.589664e-05,0,0,0,1
1771685527900000,1771685527742000,0,1771685527748000,0,-488.078,0.5625,-0.05480957,-0.030515075,0.575506,0.00020879637,-8.8416185e-05,0,0,0,1
1771685527948000,1771685527794000,0,1771685527796000,0,-488.095,0.5625,-0.05999756,-0.03329241,0.57547694,0.00025020685,-0.00010365734,0,0,0,1
1771685528004000,1771685527846000,0,1771685527852000,0,-488.135,0.5625,-0.04852295,-0.03472717,0.575506,0.00016364567,-0.000109308414,0,0,0,1
1771685528052000,1771685527898000,0,1771685527900000,0,-488.158,0.5625,-0.052001953,-0.036354505,0.5754769,0.00018796259,-0.00011671786,0,0,0,1
1771685528108000,1771685527950000,0,1771685527956000,0,-488.186,0.5625,-0.0574646,-0.038343135,0.5755059,0.00022951495,-0.00012734368,0,0,0,1
1771685528156000,1771685528002000,0,1771685528004000,0,-488.221,0.5625,-0.052612305,-0.03968733,0.5754769,0.00019240075,-0.00013347225,0,0,0,1
1771685528212000,1771685528054000,0,1771685528060000,0,-488.257,0.5625,-0.05456543,-0.04108889,0.5755059,0.00020694044,-0.00014039317,0,0,0,1
1771685528260000,1771685528106000,0,1771685528108000,0,-488.301,0.5625,-0.044769287,-0.041435596,0.5754769,0.00013931327,-0.00014029143,0,0,0,1
1771685528316000,1771685528158000,0,1771685528164000,0,-488.34,0.5625,-0.048461914,-0.042097494,0.5755059,0.00016323426,-0.00014245271,0,0,0,1
1771685528364000,1771685528210000,0,1771685528212000,0,-488.378,0.5625,-0.04837036,-0.042688414,0.5754769,0.0001626263,-0.00014435312,0,0,0,1
1771685528420000,1771685528262000,0,1771685528268000,0,-488.419,0.5625,-0.05404663,-0.043758392,0.5755059,0.00020302404,-0.0001498801,0,0,0,1
