timestamp,pub_timestamp,defer_failsafes_timeout_s,publisher_id,disable_auto_disarm,defer_failsafes,source_type,source_id
1771685613832000,1771685613832000,0,93,0,0,0,0
1771685613844000,1771685613844000,0,93,0,0,0,0
1771685613856000,1771685613856000,0,93,0,0,0,0
1771685613868000,1771685613868000,0,93,0,0,0,0
1771685613880000,1771685613880000,0,93,0,0,0,0
1771685613892000,1771685613892000,0,93,0,0,0,0
1771685613904000,1771685613904000,0,93,0,0,0,0
1771685613916000,1771685613916000,0,93,0,0,0,0
1771685613928000,1771685613928000,0,93,0,0,0,0
1771685613940000,1771685613940000,0,93,0,0,0,0
1771685613952000,1771685613952000,0,93,0,0,0,0
1771685613964000,1771685613964000,0,93,0,0,0,0
1771685613976000,1771685613976000,0,93,0,0,0,0
1771685613988000,1771685613988000,0,93,0,0,0,0
1771685614000000,1771685614000000,0,93,0,0,0,0
1771685614012000,1771685614012000,0,93,0,0,0,0
1771685614024000,1771685614024000,0,93,0,0,0,0
1771685614036000,1771685614036000,0,93,0,0,0,0
1771685614048000,1771685614048000,0,93,0,0,0,0
1771685614060000,1771685614060000,0,93,0,0,0,0
1771685614072000,1771685614072000,0,93,0,0,0,0
1771685614084000,1771685614084000,0,93,0,0,0,0
1771685614096000,1771685614096000,0,93,0,0,0,0
1771685614108000,1771685614108000,0,93,0,0,0,0
1771685614120000,1771685614120000,0,93,0,0,0,0
1771685614132000,1771685614132000,0,93,0,0,0,0
1771685614144000,1771685614144000,0,93,0,0,0,0
1771685614156000,1771685614156000,0,93,0,0,0,0
1771685614168000,1771685614168000,0,93,0,0,0,0
1771685614180000,1771685614180000,0,93,0,0,0,0
1771685614192000,1771685614192000,0,93,0,0,0,0
1771685614204000,1771685614204000,0,93,0,0,0,0
1771685614216000,1771685614216000,0,93,0,0,0,0
1771685614228000,1771685614228000,0,93,0,0,0,0
1771685614240000,1771685614240000,0,93,0,0,0,0
1771685614252000,1771685614252000,0,93,0,0,0,0
1771685614264000,1771685614264000,0,93,0,0,0,0
1771685614276000,1771685614276000,0,93,0,0,0,0
1771685614288000,1771685614288000,0,93,0,0,0,0
1771685614300000,1771685614300000,0,93,0,0,0,0
1771685614312000,1771685614312000,0,93,0,0,0,0
1771685614324000,1771685614324000,0,93,0,0,0,0
1771685614336000,1771685614336000,0,93,0,0,0,0
1771685614348000,1771685614348000,0,93,0,0,0,0
1771685614360000,1771685614360000,0,93,0,0,0,0
1771685614372000,1771685614372000,0,93,0,0,0,0
1771685614384000,1771685614384000,0,93,0,0,0,0
1771685614396000,1771685614396000,0,93,0,0,0,0
1771685614408000,1771685614408000,0,93,0,0,0,0
1771685614420000,1771685614420000,0,93,0,0,0,0
1771685614432000,1771685614432000,0,93,0,0,0,0
1771685614444000,1771685614444000,0,93,0,0,0,0
1771685614456000,1771685614456000,0,93,0,0,0,0
1771685614468000,1771685614468000,0,93,0,0,0,0
1771685614480000,1771685614480000,0,93,0,0,0,0
1771685614492000,1771685614492000,0,93,0,0,0,0
1771685614504000,1771685614504000,0,93,0,0,0,0
1771685614516000,1771685614516000,0,93,0,0,0,0
1771685614528000,1771685614528000,0,93,0,0,0,0
1771685614540000,1771685614540000,0,93,0,0,0,0
1771685614552000,1771685614552000,0,93,0,0,0,0
1771685614564000,1771685614564000,0,93,0,0,0,0
1771685614576000,1771685614576000,0,93,0,0,0,0
1771685614588000,1771685614588000,0,93,0,0,0,0
1771685614600000,1771685614600000,0,93,0,0,0,0
1771685614612000,1771685614612000,0,93,0,0,0,0
1771685614624000,1771685614624000,0,93,0,0,0,0
