timestamp,pub_timestamp,accel_device_id,gyro_device_id,accel_clipping[0],accel_clipping[1],accel_clipping[2],gyro_clipping[0],gyro_clipping[1],gyro_clipping[2],accel_error_count,gyro_error_count,accel_rate_hz,gyro_rate_hz,accel_raw_rate_hz,gyro_raw_rate_hz,accel_vibration_metric,gyro_vibration_metric,delta_angle_coning_metric,mean_accel[0],mean_accel[1],mean_accel[2],mean_gyro[0],mean_gyro[1],mean_gyro[2],var_accel[0],var_accel[1],var_accel[2],var_gyro[0],var_gyro[1],var_gyro[2],temperature_accel,temperature_gyro,publisher_id
1771685665816000,1771685665816000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.038168054,0.008164116,9.5748715e-11,-0.006320692,0.011109266,-9.80167,-0.0043675844,0.00029827422,-0.0029188246,0.00057889504,0.0009309477,0.0010776292,7.354847e-05,5.7426914e-05,3.71908e-05,0.0,0.0,126
1771685665916000,1771685665916000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.03837718,0.008122877,8.7154686e-11,0.0098641105,0.011875412,-9.793434,-0.0063063656,0.0039201733,0.0015765916,0.0012215895,0.0012192775,0.0016122524,0.00010791554,5.1133564e-05,3.1950913e-05,0.0,0.0,126
1771685666016000,1771685666016000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.04001059,0.007865567,5.6291066e-11,-0.009193735,0.00047901188,-9.819483,-0.0028975194,0.0022583606,-0.0020666132,0.0027388842,0.0005049114,0.0024170247,5.8017948e-05,4.7667734e-05,2.4618288e-05,0.0,0.0,126
1771685666116000,1771685666116000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.04157594,0.007922937,9.893462e-11,-0.02183512,0.010534659,-9.816897,-0.005901565,0.0026631611,-0.00012783166,0.0009655512,0.0011010604,0.0017868029,0.00016740305,3.3381693e-05,2.5610283e-05,0.0,0.0,126
1771685666216000,1771685666216000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.042113222,0.008205906,1.3468587e-10,-0.007565677,-0.01283275,-9.8218775,-0.0044315,-0.0028975192,0.0003834951,0.0011099835,0.0010460695,0.0019474755,0.0001348677,0.000118587275,3.462334e-05,0.0,0.0,126
1771685666316000,1771685666316000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.042242907,0.008187869,1.0310565e-10,-0.015514428,-0.0008617416,-9.806171,0.00072437985,-0.0005326323,0.0010439594,0.001278816,0.0014974804,0.0014526609,8.3545965e-05,9.579505e-05,5.19752e-05,0.0,0.0,126
1771685666416000,1771685666416000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.041985616,0.008494024,1.3047223e-10,-0.019919757,-0.010630084,-9.807129,-0.0039201733,0.0011930962,-0.0016618125,0.0007889994,0.0011235499,0.0015973814,6.865186e-05,0.00013367523,5.700704e-05,0.0,0.0,126
1771685666516000,1771685666516000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.04131446,0.00822405,7.7569534e-11,-0.027102364,-0.01283275,-9.809332,-0.0015552862,-0.0053689326,0.00040480035,0.0015208104,0.0005884488,0.0014843247,2.8509668e-05,0.00010184536,2.1851298e-05,0.0,0.0,126
1771685666616000,1771685666616000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.04085015,0.00805054,8.4720654e-11,-0.00593762,-0.007948578,-9.826474,4.2610474e-05,0.0014274542,0.003004046,0.0007242255,0.00063327455,0.0014815487,4.862852e-05,9.99966e-05,4.250445e-05,0.0,0.0,126
1771685666716000,1771685666716000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.039212786,0.0079531055,6.967328e-11,-0.016567875,-0.0005744365,-9.834231,0.00038349518,0.00014913711,6.39159e-05,0.00062668254,0.00061730086,0.0017326195,6.755584e-05,5.625524e-05,4.1214567e-05,0.0,0.0,126
