timestamp,timestamp_sample,pub_timestamp,time_last_fuse,observation[0],observation[1],device_id,observation_variance[0],observation_variance[1],innovation[0],innovation[1],innovation_filtered[0],innovation_filtered[1],innovation_variance[0],innovation_variance[1],test_ratio[0],test_ratio[1],test_ratio_filtered[0],test_ratio_filtered[1],publisher_id,estimator_instance,innovation_rejected,fused
1771685524884000,1771685524726000,0,1771685524732000,47.3977419,8.5455937,0,0.25,0.25,0.015779952,-0.010658879,0.004578961,-0.005062685,0.2575054,0.25751412,3.867987e-05,1.7647451e-05,1.0418019e-05,-7.895429e-06,0,0,0,1
1771685524932000,1771685524778000,0,1771685524780000,47.3977419,8.5455937,0,0.25,0.25,0.015414972,-0.010591352,0.0055997446,-0.0055835014,0.25747925,0.25748795,3.691503e-05,1.742633e-05,1.2914114e-05,-8.793268e-06,0,0,0,1
1771685524988000,1771685524830000,0,1771685524836000,47.397742,8.5455937,0,0.25,0.25,0.003962,-0.010772231,0.0054454645,-0.006072295,0.25750518,0.257514,2.4383887e-06,1.80248e-05,1.1927271e-05,-9.662905e-06,0,0,0,1
1771685525036000,1771685524882000,0,1771685524884000,47.397742099999995,8.545593499999999,0,0.25,0.25,-0.0071802326,0.004382483,0.0042560874,-0.0050874245,0.2574794,0.257488,8.0093e-06,2.9836199e-06,1.0049188e-05,-8.471565e-06,0,0,0,1
1771685525092000,1771685524934000,0,1771685524940000,47.397742199999996,8.545593499999999,0,0.25,0.25,-0.017904267,0.0038672504,0.0021685176,-0.004243868,0.25750533,0.25751406,4.979513e-05,2.323077e-06,4.411679e-06,-7.4546783e-06,0,0,0,1
1771685525140000,1771685524986000,0,1771685524988000,47.397742199999996,8.545593499999999,0,0.25,0.25,-0.017210064,0.0034595318,0.00034299877,-0.0035181853,0.2574792,0.2574879,4.6013243e-05,1.8592501e-06,-3.3849483e-07,-6.5772792e-06,0,0,0,1
1771685525196000,1771685525038000,0,1771685525044000,47.397742199999996,8.545593499999999,0,0.25,0.25,-0.016494751,0.002933479,-0.0012431662,-0.0029104198,0.25750512,0.25751397,4.226352e-05,1.336673e-06,-4.287954e-06,-5.831762e-06,0,0,0,1
1771685525244000,1771685525090000,0,1771685525092000,47.397742099999995,8.5455936,0,0.25,0.25,-0.004712465,-0.004968159,-0.0015699842,-0.0031042648,0.25747934,0.25748795,3.449959e-06,3.83437e-06,-4.209013e-06,-5.643602e-06,0,0,0,1
1771685525300000,1771685525142000,0,1771685525148000,47.397742099999995,8.5455936,0,0.25,0.25,-0.0044153975,-0.00530298,-0.0018380304,-0.0033113903,0.25750527,0.257514,3.0284018e-06,4.368166e-06,-4.0977957e-06,-5.5234523e-06,0,0,0,1
1771685525348000,1771685525194000,0,1771685525196000,47.397742099999995,8.5455937,0,0.25,0.25,-0.0041859085,-0.0129918195,-0.0020592073,-0.004223315,0.25747916,0.25748783,2.722058e-06,2.6220638e-05,-3.9681972e-06,-7.473187e-06,0,0,0,1
1771685525404000,1771685525246000,0,1771685525252000,47.397742099999995,8.5455937,0,0.25,0.25,-0.0037783475,-0.013079248,-0.0022211552,-0.0050575696,0.25750506,0.2575139,2.2175736e-06,2.657204e-05,-3.8032833e-06,-9.272355e-06,0,0,0,1
1771685525452000,1771685525298000,0,1771685525300000,47.397742099999995,8.5455937,0,0.25,0.25,-0.0035026744,-0.0129715735,-0.0023418781,-0.005803092,0.25747934,0.25748795,1.9059747e-06,2.6138965e-05,-3.6245513e-06,-1.08612385e-05,0,0,0,1
1771685525508000,1771685525350000,0,1771685525356000,47.3977419,8.5455937,0,0.25,0.25,0.019149566,-0.013056016,-0.00031732162,-0.0064863386,0.25750527,0.257514,5.6962854e-05,2.6477714e-05,2.0829582e-06,-1.2332356e-05,0,0,0,1
1771685525556000,1771685525402000,0,1771685525404000,47.3977419,8.5455937,0,0.25,0.25,0.018707903,-0.012917012,0.0014749098,-0.0070921266,0.25747916,0.25748786,5.4371103e-05,2.5919544e-05,7.0086535e-06,-1.3612309e-05,0,0,0,1
