timestamp,pub_timestamp,publisher_id,armed,prearmed,ready_to_arm,lockdown,kill,termination,in_esc_calibration_mode
1771685574760000,1771685574760000,93,1,0,1,0,0,0,0
1771685575264000,1771685575264000,93,1,0,1,0,0,0,0
1771685575768000,1771685575768000,93,1,0,1,0,0,0,0
1771685576272000,1771685576272000,93,1,0,1,0,0,0,0
1771685576776000,1771685576776000,93,1,0,1,0,0,0,0
1771685577280000,1771685577280000,93,1,0,1,0,0,0,0
1771685577784000,1771685577784000,93,1,0,1,0,0,0,0
1771685578288000,1771685578288000,93,1,0,1,0,0,0,0
1771685578792000,1771685578792000,93,1,0,1,0,0,0,0
1771685579296000,1771685579296000,93,1,0,1,0,0,0,0
1771685579800000,1771685579800000,93,1,0,1,0,0,0,0
1771685580304000,1771685580304000,93,1,0,1,0,0,0,0
1771685580808000,1771685580808000,93,1,0,1,0,0,0,0
1771685581312000,1771685581312000,93,1,0,1,0,0,0,0
1771685581816000,1771685581816000,93,1,0,1,0,0,0,0
1771685582320000,1771685582320000,93,1,0,1,0,0,0,0
1771685582824000,1771685582824000,93,1,0,1,0,0,0,0
1771685583328000,1771685583328000,93,1,0,1,0,0,0,0
1771685583832000,1771685583832000,93,1,0,1,0,0,0,0
1771685584336000,1771685584336000,93,1,0,1,0,0,0,0
1771685584840000,1771685584840000,93,1,0,1,0,0,0,0
1771685585344000,1771685585344000,93,1,0,1,0,0,0,0
1771685585848000,1771685585848000,93,1,0,1,0,0,0,0
1771685586352000,1771685586352000,93,1,0,1,0,0,0,0
1771685586856000,1771685586856000,93,1,0,1,0,0,0,0
1771685587360000,1771685587360000,93,1,0,1,0,0,0,0
1771685587864000,1771685587864000,93,1,0,1,0,0,0,0
1771685588368000,1771685588368000,93,1,0,1,0,0,0,0
1771685588872000,1771685588872000,93,1,0,1,0,0,0,0
1771685589376000,1771685589376000,93,1,0,1,0,0,0,0
1771685589832000,1771685589832000,93,1,0,1,0,0,0,0
1771685590336000,1771685590336000,93,1,0,1,0,0,0,0
1771685590840000,1771685590840000,93,1,0,1,0,0,0,0
1771685591344000,1771685591344000,93,1,0,1,0,0,0,0
1771685591848000,1771685591848000,93,1,0,1,0,0,0,0
1771685592352000,1771685592352000,93,1,0,1,0,0,0,0
1771685592856000,1771685592856000,93,1,0,1,0,0,0,0
1771685593360000,1771685593360000,93,1,0,1,0,0,0,0
1771685593864000,1771685593864000,93,1,0,1,0,0,0,0
1771685594368000,1771685594368000,93,1,0,1,0,0,0,0
1771685594872000,1771685594872000,93,1,0,1,0,0,0,0
1771685595376000,1771685595376000,93,1,0,1,0,0,0,0
1771685595880000,1771685595880000,93,1,0,1,0,0,0,0
1771685596384000,1771685596384000,93,1,0,1,0,0,0,0
1771685596888000,1771685596888000,93,1,0,1,0,0,0,0
1771685597392000,1771685597392000,93,1,0,1,0,0,0,0
1771685597896000,1771685597896000,93,1,0,1,0,0,0,0
1771685598400000,1771685598400000,93,1,0,1,0,0,0,0
1771685598904000,1771685598904000,93,1,0,1,0,0,0,0
1771685599408000,1771685599408000,93,1,0,1,0,0,0,0
1771685599912000,1771685599912000,93,1,0,1,0,0,0,0
1771685600416000,1771685600416000,93,1,0,1,0,0,0,0
1771685600920000,1771685600920000,93,1,0,1,0,0,0,0
1771685601424000,1771685601424000,93,1,0,1,0,0,0,0
1771685601928000,1771685601928000,93,1,0,1,0,0,0,0
1771685602432000,1771685602432000,93,1,0,1,0,0,0,0
1771685602936000,1771685602936000,93,1,0,1,0,0,0,0
1771685603440000,1771685603440000,93,1,0,1,0,0,0,0
1771685603944000,1771685603944000,93,1,0,1,0,0,0,0
1771685604448000,1771685604448000,93,1,0,1,0,0,0,0
1771685604952000,1771685604952000,93,1,0,1,0,0,0,0
1771685605456000,1771685605456000,93,1,0,1,0,0,0,0
1771685605960000,1771685605960000,93,1,0,1,0,0,0,0
1771685606464000,1771685606464000,93,1,0,1,0,0,0,0
1771685606968000,1771685606968000,93,1,0,1,0,0,0,0
1771685607472000,1771685607472000,93,1,0,1,0,0,0,0
1771685607976000,1771685607976000,93,1,0,1,0,0,0,0
1771685608480000,1771685608480000,93,1,0,1,0,0,0,0
1771685608984000,1771685608984000,93,1,0,1,0,0,0,0
1771685609488000,1771685609488000,93,1,0,1,0,0,0,0
1771685609992000,1771685609992000,93,1,0,1,0,0,0,0
1771685610496000,1771685610496000,93,1,0,1,0,0,0,0
1771685611000000,1771685611000000,93,1,0,1,0,0,0,0
1771685611504000,1771685611504000,93,1,0,1,0,0,0,0
1771685612008000,1771685612008000,93,1,0,1,0,0,0,0
1771685612512000,1771685612512000,93,1,0,1,0,0,0,0
1771685613016000,1771685613016000,93,1,0,1,0,0,0,0
1771685613520000,1771685613520000,93,1,0,1,0,0,0,0
1771685614024000,1771685614024000,93,1,0,1,0,0,0,0
1771685614528000,1771685614528000,93,1,0,1,0,0,0,0
1771685615032000,1771685615032000,93,1,0,1,0,0,0,0
1771685615536000,1771685615536000,93,1,0,1,0,0,0,0
1771685616040000,1771685616040000,93,1,0,1,0,0,0,0
1771685616544000,1771685616544000,93,1,0,1,0,0,0,0
1771685617048000,1771685617048000,93,1,0,1,0,0,0,0
1771685617552000,1771685617552000,93,1,0,1,0,0,0,0
1771685618056000,1771685618056000,93,1,0,1,0,0,0,0
1771685618560000,1771685618560000,93,1,0,1,0,0,0,0
1771685619064000,1771685619064000,93,1,0,1,0,0,0,0
1771685619568000,1771685619568000,93,1,0,1,0,0,0,0
1771685620072000,1771685620072000,93,1,0,1,0,0,0,0
1771685620576000,1771685620576000,93,1,0,1,0,0,0,0
1771685621080000,1771685621080000,93,1,0,1,0,0,0,0
1771685621584000,1771685621584000,93,1,0,1,0,0,0,0
1771685622088000,1771685622088000,93,1,0,1,0,0,0,0
1771685622592000,1771685622592000,93,1,0,1,0,0,0,0
1771685623096000,1771685623096000,93,1,0,1,0,0,0,0
1771685623600000,1771685623600000,93,1,0,1,0,0,0,0
1771685624104000,1771685624104000,93,1,0,1,0,0,0,0
1771685624608000,1771685624608000,93,1,0,1,0,0,0,0
1771685625112000,1771685625112000,93,1,0,1,0,0,0,0
1771685625616000,1771685625616000,93,1,0,1,0,0,0,0
1771685626120000,1771685626120000,93,1,0,1,0,0,0,0
1771685626624000,1771685626624000,93,1,0,1,0,0,0,0
1771685627128000,1771685627128000,93,1,0,1,0,0,0,0
1771685627140000,1771685627140000,93,1,0,1,0,0,0,0
1771685627152000,1771685627152000,93,1,0,1,0,0,0,0
1771685627164000,1771685627164000,93,1,0,1,0,0,0,0
1771685627668000,1771685627668000,93,1,0,1,0,0,0,0
1771685628172000,1771685628172000,93,1,0,1,0,0,0,0
1771685628676000,1771685628676000,93,1,0,1,0,0,0,0
1771685629180000,1771685629180000,93,1,0,1,0,0,0,0
1771685629684000,1771685629684000,93,1,0,1,0,0,0,0
1771685630188000,1771685630188000,93,1,0,1,0,0,0,0
1771685630692000,1771685630692000,93,1,0,1,0,0,0,0
1771685631196000,1771685631196000,93,1,0,1,0,0,0,0
1771685631700000,1771685631700000,93,1,0,1,0,0,0,0
1771685632204000,1771685632204000,93,1,0,1,0,0,0,0
1771685632708000,1771685632708000,93,1,0,1,0,0,0,0
1771685633212000,1771685633212000,93,1,0,1,0,0,0,0
1771685633716000,1771685633716000,93,1,0,1,0,0,0,0
1771685634220000,1771685634220000,93,1,0,1,0,0,0,0
1771685634724000,1771685634724000,93,1,0,1,0,0,0,0
1771685635228000,1771685635228000,93,1,0,1,0,0,0,0
1771685635732000,1771685635732000,93,1,0,1,0,0,0,0
1771685636236000,1771685636236000,93,1,0,1,0,0,0,0
1771685636740000,1771685636740000,93,1,0,1,0,0,0,0
1771685637244000,1771685637244000,93,1,0,1,0,0,0,0
1771685637748000,1771685637748000,93,1,0,1,0,0,0,0
1771685638252000,1771685638252000,93,1,0,1,0,0,0,0
1771685638756000,1771685638756000,93,1,0,1,0,0,0,0
1771685639260000,1771685639260000,93,1,0,1,0,0,0,0
1771685639764000,1771685639764000,93,1,0,1,0,0,0,0
1771685640268000,1771685640268000,93,1,0,1,0,0,0,0
1771685640772000,1771685640772000,93,1,0,1,0,0,0,0
1771685641276000,1771685641276000,93,1,0,1,0,0,0,0
1771685641780000,1771685641780000,93,1,0,1,0,0,0,0
1771685642284000,1771685642284000,93,1,0,1,0,0,0,0
1771685642788000,1771685642788000,93,1,0,1,0,0,0,0
1771685643292000,1771685643292000,93,1,0,1,0,0,0,0
1771685643796000,1771685643796000,93,1,0,1,0,0,0,0
1771685644300000,1771685644300000,93,1,0,1,0,0,0,0
1771685644804000,1771685644804000,93,1,0,1,0,0,0,0
1771685645308000,1771685645308000,93,1,0,1,0,0,0,0
1771685645812000,1771685645812000,93,1,0,1,0,0,0,0
1771685646316000,1771685646316000,93,1,0,1,0,0,0,0
1771685646820000,1771685646820000,93,1,0,1,0,0,0,0
1771685647324000,1771685647324000,93,1,0,1,0,0,0,0
1771685647828000,1771685647828000,93,1,0,1,0,0,0,0
1771685648332000,1771685648332000,93,1,0,1,0,0,0,0
1771685648836000,1771685648836000,93,1,0,1,0,0,0,0
1771685649340000,1771685649340000,93,1,0,1,0,0,0,0
1771685649844000,1771685649844000,93,1,0,1,0,0,0,0
1771685650348000,1771685650348000,93,1,0,1,0,0,0,0
1771685650852000,1771685650852000,93,1,0,1,0,0,0,0
1771685651356000,1771685651356000,93,1,0,1,0,0,0,0
1771685651860000,1771685651860000,93,1,0,1,0,0,0,0
1771685652364000,1771685652364000,93,1,0,1,0,0,0,0
1771685652868000,1771685652868000,93,1,0,1,0,0,0,0
1771685653372000,1771685653372000,93,1,0,1,0,0,0,0
1771685653876000,1771685653876000,93,1,0,1,0,0,0,0
1771685654380000,1771685654380000,93,1,0,1,0,0,0,0
1771685654884000,1771685654884000,93,1,0,1,0,0,0,0
1771685655388000,1771685655388000,93,1,0,1,0,0,0,0
1771685655892000,1771685655892000,93,1,0,1,0,0,0,0
1771685656396000,1771685656396000,93,1,0,1,0,0,0,0
1771685656900000,1771685656900000,93,1,0,1,0,0,0,0
1771685657404000,1771685657404000,93,1,0,1,0,0,0,0
1771685657908000,1771685657908000,93,1,0,1,0,0,0,0
1771685658412000,1771685658412000,93,1,0,1,0,0,0,0
1771685658916000,1771685658916000,93,1,0,1,0,0,0,0
1771685659420000,1771685659420000,93,1,0,1,0,0,0,0
1771685659924000,1771685659924000,93,1,0,1,0,0,0,0
1771685660428000,1771685660428000,93,1,0,1,0,0,0,0
1771685660932000,1771685660932000,93,1,0,1,0,0,0,0
1771685661436000,1771685661436000,93,1,0,1,0,0,0,0
1771685661940000,1771685661940000,93,1,0,1,0,0,0,0
1771685662444000,1771685662444000,93,1,0,1,0,0,0,0
1771685662948000,1771685662948000,93,1,0,1,0,0,0,0
1771685663452000,1771685663452000,93,1,0,1,0,0,0,0
1771685663956000,1771685663956000,93,1,0,1,0,0,0,0
1771685664460000,1771685664460000,93,1,0,1,0,0,0,0
1771685664964000,1771685664964000,93,1,0,1,0,0,0,0
1771685665468000,1771685665468000,93,1,0,1,0,0,0,0
1771685665972000,1771685665972000,93,1,0,1,0,0,0,0
1771685666476000,1771685666476000,93,1,0,1,0,0,0,0
1771685666980000,1771685666980000,93,1,0,1,0,0,0,0
1771685667484000,1771685667484000,93,1,0,1,0,0,0,0
1771685667988000,1771685667988000,93,1,0,1,0,0,0,0
1771685668492000,1771685668492000,93,1,0,1,0,0,0,0
1771685668996000,1771685668996000,93,1,0,1,0,0,0,0
1771685669500000,1771685669500000,93,1,0,1,0,0,0,0
1771685670004000,1771685670004000,93,1,0,1,0,0,0,0
1771685670508000,1771685670508000,93,1,0,1,0,0,0,0
1771685671012000,1771685671012000,93,1,0,1,0,0,0,0
1771685671516000,1771685671516000,93,1,0,1,0,0,0,0
1771685672020000,1771685672020000,93,1,0,1,0,0,0,0
1771685672524000,1771685672524000,93,1,0,1,0,0,0,0
1771685673028000,1771685673028000,93,1,0,1,0,0,0,0
1771685673532000,1771685673532000,93,1,0,1,0,0,0,0
1771685674036000,1771685674036000,93,1,0,1,0,0,0,0
1771685674540000,1771685674540000,93,1,0,1,0,0,0,0
1771685675044000,1771685675044000,93,1,0,1,0,0,0,0
1771685675548000,1771685675548000,93,1,0,1,0,0,0,0
1771685676052000,1771685676052000,93,1,0,1,0,0,0,0
1771685676556000,1771685676556000,93,1,0,1,0,0,0,0
1771685677060000,1771685677060000,93,1,0,1,0,0,0,0
1771685677564000,1771685677564000,93,1,0,1,0,0,0,0
1771685678068000,1771685678068000,93,1,0,1,0,0,0,0
1771685678572000,1771685678572000,93,1,0,1,0,0,0,0
1771685679076000,1771685679076000,93,1,0,1,0,0,0,0
