timestamp,pub_timestamp,data_rate,rate_multiplier,tx_rate_avg,tx_error_rate_avg,tx_message_count,tx_buffer_overruns,rx_rate_avg,rx_message_count,rx_message_lost_count,rx_buffer_overruns,rx_parse_errors,rx_packet_drop_count,rx_message_lost_rate,publisher_id,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams,heartbeat_type_antenna_tracker,heartbeat_type_gcs,heartbeat_type_onboard_controller,heartbeat_type_gimbal,heartbeat_type_adsb,heartbeat_type_camera,heartbeat_type_parachute,heartbeat_type_open_drone_id,heartbeat_component_telemetry_radio,heartbeat_component_log,heartbeat_component_osd,heartbeat_component_vio,heartbeat_component_pairing_manager,heartbeat_component_udp_bridge,heartbeat_component_uart_bridge,open_drone_id_system_healthy,parachute_system_healthy
1771685626832000,0,400000.0,1.0,1345.6176,0.0,15929,0,0.0,0,0,0,0,0,0.0,0,0,10,0,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1771685627084000,0,400000.0,1.0,1345.6176,0.0,15936,0,0.0,0,0,0,0,0,0.0,0,0,10,0,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1771685628084000,0,400000.0,1.0,1703.1873,0.0,15969,0,0.0,0,0,0,0,0,0.0,0,0,10,0,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1771685628336000,0,400000.0,1.0,1703.1873,0.0,15975,0,0.0,0,0,0,0,0,0.0,0,0,10,0,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1771685629336000,0,400000.0,1.0,1448.2073,0.0,15999,0,0.0,0,0,0,0,0,0.0,0,0,10,0,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1771685629588000,0,400000.0,1.0,1448.2073,0.0,16004,0,0.0,0,0,0,0,0,0.0,0,0,10,0,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1771685630588000,0,400000.0,1.0,1358.5658,0.0,16027,0,0.0,0,0,0,0,0,0.0,0,0,10,0,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1771685630844000,0,400000.0,1.0,1371.514,0.0,16033,0,0.0,0,0,0,0,0,0.0,0,0,10,0,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1771685631844000,0,400000.0,1.0,1371.514,0.0,16056,0,0.0,0,0,0,0,0,0.0,0,0,10,0,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1771685632096000,0,400000.0,1.0,1358.5658,0.0,16064,0,0.0,0,0,0,0,0,0.0,0,0,10,0,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1771685633096000,0,400000.0,1.0,1358.5658,0.0,16087,0,0.0,0,0,0,0,0,0.0,0,0,10,0,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1771685633356000,0,400000.0,1.0,1358.5658,0.0,16092,0,0.0,0,0,0,0,0,0.0,0,0,10,0,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1771685634356000,0,400000.0,1.0,1371.514,0.0,16116,0,0.0,0,0,0,0,0,0.0,0,0,10,0,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1771685634616000,0,400000.0,1.0,1371.514,0.0,16121,0,0.0,0,0,0,0,0,0.0,0,0,10,0,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1771685635616000,0,400000.0,1.0,1358.5658,0.0,16144,0,0.0,0,0,0,0,0,0.0,0,0,10,0,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1771685635876000,0,400000.0,1.0,1358.5658,0.0,16150,0,0.0,0,0,0,0,0,0.0,0,0,10,0,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1771685636876000,0,400000.0,1.0,1371.514,0.0,16174,0,0.0,0,0,0,0,0,0.0,0,0,10,0,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1771685637128000,0,400000.0,1.0,1371.514,0.0,16182,0,0.0,0,0,0,0,0,0.0,0,0,10,0,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
