timestamp,pub_timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,publisher_id
1771685123688000,1771685123688000,0.0,0.0,0.0,39
1771685123692000,1771685123692000,0.0,0.0,0.0,39
1771685123696000,1771685123696000,0.0,0.0,0.0,39
1771685123700000,1771685123700000,0.0,0.0,0.0,39
1771685123704000,1771685123704000,0.0,0.0,0.0,39
1771685123708000,1771685123708000,0.0,0.0,0.0,39
1771685123712000,1771685123712000,0.0,0.0,0.0,39
1771685123716000,1771685123716000,0.0,0.0,0.0,39
1771685123720000,1771685123720000,0.0,0.0,0.0,39
1771685123724000,1771685123724000,0.0,0.0,0.0,39
1771685123728000,1771685123728000,0.0,0.0,0.0,39
1771685123732000,1771685123732000,0.0,0.0,0.0,39
1771685123736000,1771685123736000,0.0,0.0,0.0,39
1771685123740000,1771685123740000,0.0,0.0,0.0,39
1771685123744000,1771685123744000,0.0,0.0,0.0,39
1771685123748000,1771685123748000,0.0,0.0,0.0,39
1771685123752000,1771685123752000,0.0,0.0,0.0,39
1771685123756000,1771685123756000,0.0,0.0,0.0,39
1771685123760000,1771685123760000,0.0,0.0,0.0,39
1771685123764000,1771685123764000,0.0,0.0,0.0,39
1771685123768000,1771685123768000,0.0,0.0,0.0,39
1771685123772000,1771685123772000,0.0,0.0,0.0,39
1771685123776000,1771685123776000,0.0,0.0,0.0,39
1771685123780000,1771685123780000,0.0,0.0,0.0,39
1771685123784000,1771685123784000,0.0,0.0,0.0,39
1771685123788000,1771685123788000,0.0,0.0,0.0,39
1771685123792000,1771685123792000,0.0,0.0,0.0,39
1771685123796000,1771685123796000,0.0,0.0,0.0,39
1771685123800000,1771685123800000,0.0,0.0,0.0,39
1771685123804000,1771685123804000,0.0,0.0,0.0,39
1771685123808000,1771685123808000,0.0,0.0,0.0,39
1771685123812000,1771685123812000,0.0,0.0,0.0,39
1771685123816000,1771685123816000,0.0,0.0,0.0,39
1771685123820000,1771685123820000,0.0,0.0,0.0,39
1771685123824000,1771685123824000,0.0,0.0,0.0,39
1771685123828000,1771685123828000,0.0,0.0,0.0,39
1771685123832000,1771685123832000,0.0,0.0,0.0,39
1771685123836000,1771685123836000,0.0,0.0,0.0,39
1771685123840000,1771685123840000,0.0,0.0,0.0,39
1771685123844000,1771685123844000,0.0,0.0,0.0,39
1771685123848000,1771685123848000,0.0,0.0,0.0,39
1771685123852000,1771685123852000,0.0,0.0,0.0,39
1771685123856000,1771685123856000,0.0,0.0,0.0,39
1771685123860000,1771685123860000,0.0,0.0,0.0,39
1771685123864000,1771685123864000,0.0,0.0,0.0,39
1771685123868000,1771685123868000,0.0,0.0,0.0,39
1771685123872000,1771685123872000,0.0,0.0,0.0,39
1771685123876000,1771685123876000,0.0,0.0,0.0,39
1771685123880000,1771685123880000,0.0,0.0,0.0,39
1771685123884000,1771685123884000,0.0,0.0,0.0,39
1771685123888000,1771685123888000,0.0,0.0,0.0,39
1771685123892000,1771685123892000,0.0,0.0,0.0,39
1771685123896000,1771685123896000,0.0,0.0,0.0,39
1771685123900000,1771685123900000,0.0,0.0,0.0,39
1771685123904000,1771685123904000,0.0,0.0,0.0,39
1771685123908000,1771685123908000,0.0,0.0,0.0,39
1771685123912000,1771685123912000,0.0,0.0,0.0,39
1771685123916000,1771685123916000,0.0,0.0,0.0,39
1771685123920000,1771685123920000,0.0,0.0,0.0,39
1771685123924000,1771685123924000,0.0,0.0,0.0,39
1771685123928000,1771685123928000,0.0,0.0,0.0,39
1771685123932000,1771685123932000,0.0,0.0,0.0,39
1771685123936000,1771685123936000,0.0,0.0,0.0,39
1771685123940000,1771685123940000,0.0,0.0,0.0,39
1771685123944000,1771685123944000,0.0,0.0,0.0,39
1771685123948000,1771685123948000,0.0,0.0,0.0,39
1771685123952000,1771685123952000,0.0,0.0,0.0,39
1771685123956000,1771685123956000,0.0,0.0,0.0,39
1771685123960000,1771685123960000,0.0,0.0,0.0,39
1771685123964000,1771685123964000,0.0,0.0,0.0,39
1771685123968000,1771685123968000,0.0,0.0,0.0,39
1771685123972000,1771685123972000,0.0,0.0,0.0,39
1771685123976000,1771685123976000,0.0,0.0,0.0,39
1771685123980000,1771685123980000,0.0,0.0,0.0,39
1771685123984000,1771685123984000,0.0,0.0,0.0,39
1771685123988000,1771685123988000,0.0,0.0,0.0,39
1771685123992000,1771685123992000,0.0,0.0,0.0,39
1771685123996000,1771685123996000,0.0,0.0,0.0,39
1771685124000000,1771685124000000,0.0,0.0,0.0,39
1771685124004000,1771685124004000,0.0,0.0,0.0,39
1771685124008000,1771685124008000,0.0,0.0,0.0,39
1771685124012000,1771685124012000,0.0,0.0,0.0,39
1771685124016000,1771685124016000,0.0,0.0,0.0,39
1771685124020000,1771685124020000,0.0,0.0,0.0,39
1771685124024000,1771685124024000,0.0,0.0,0.0,39
