timestamp,pub_timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,publisher_id,delta_angle_clipping,delta_velocity_clipping,accel_calibration_count,gyro_calibration_count
1771685122804000,1771685122804000,1771685122804000,1310988,1310988,-1.7044402e-05,2.4501047e-05,-3.5153673e-05,-0.000272939,-0.00028730353,-0.03926012,4000,4000,126,0,0,0,1
1771685122808000,1771685122808000,1771685122808000,1310988,1310988,-8.52215e-06,6.3915763e-06,-2.5566338e-05,-0.00011492167,-0.00017238184,-0.03935589,4000,4000,126,0,0,0,1
1771685122812000,1771685122812000,1771685122812000,1310988,1310988,2.0240106e-05,4.2610525e-05,-1.7044275e-05,0.00010534488,-0.00011492099,-0.03926491,4000,4000,126,0,0,0,1
1771685122816000,1771685122816000,1771685122816000,1310988,1310988,5.0067443e-05,5.858951e-05,-2.02401e-05,9.097967e-05,3.3519504e-05,-0.039102104,4000,4000,126,0,0,0,1
1771685122820000,1771685122820000,1771685122820000,1310988,1310988,4.7936952e-05,2.5566262e-05,1.0651377e-06,7.182605e-05,0.00012928758,-0.039020702,4000,4000,126,0,0,0,1
1771685122824000,1771685122824000,1771685122824000,1310988,1310988,2.1305317e-05,-1.0653182e-06,1.3848388e-05,2.873042e-05,-6.703696e-05,-0.03907816,4000,4000,126,0,0,0,1
1771685122828000,1771685122828000,1771685122828000,1310988,1310988,3.877194e-12,-3.1957898e-06,-2.1305348e-06,5.267244e-05,-0.00020111227,-0.039164353,4000,4000,126,0,0,0,1
1771685122832000,1771685122832000,1771685122832000,1310988,1310988,-1.5978967e-05,-1.0652642e-05,-9.587385e-06,7.661446e-05,-7.1825365e-05,-0.039226603,4000,4000,126,0,0,0,1
1771685122836000,1771685122836000,1771685122836000,1310988,1310988,-2.1305299e-05,-1.3848426e-05,-3.1957943e-06,2.3942017e-05,-0.0001101326,-0.039360672,4000,4000,126,0,0,0,1
1771685122840000,1771685122840000,1771685122840000,1310988,1310988,-1.3848444e-05,-1.0652636e-05,3.1957964e-06,-1.436521e-05,-0.00011970941,-0.03947081,4000,4000,126,0,0,0,1
1771685122844000,1771685122844000,1771685122844000,1310988,1310988,-1.49137e-05,-3.408846e-05,7.4568766e-06,-9.576807e-06,0.000105345556,-0.0392697,4000,4000,126,0,0,0,1
1771685122848000,1771685122848000,1771685122848000,1310988,1310988,-1.9174755e-05,-4.7936905e-05,8.522121e-06,6.7037654e-05,0.00013407598,-0.038982388,4000,4000,126,0,0,0,1
1771685122852000,1771685122852000,1771685122852000,1310988,1310988,-1.2783223e-05,-2.7696859e-05,1.7044225e-05,7.182605e-05,-0.0001005558,-0.0389776,4000,4000,126,0,0,0,1
1771685122856000,1771685122856000,1771685122856000,1310988,1310988,-4.26107e-06,-1.0652639e-05,1.1717912e-05,0.0,-0.00022505427,-0.039126046,4000,4000,126,0,0,0,1
1771685122860000,1771685122860000,1771685122860000,1310988,1310988,-3.1957848e-06,6.3915786e-06,-1.7044238e-05,6.2249244e-05,-9.5767384e-05,-0.039226603,4000,4000,126,0,0,0,1
1771685122864000,1771685122864000,1771685122864000,1310988,1310988,-9.587392e-06,3.1957995e-06,-3.0892665e-05,0.0001436521,-9.576122e-06,-0.03926491,4000,4000,126,0,0,0,1
1771685122868000,1771685122868000,1771685122868000,1310988,1310988,-2.2370603e-05,-1.7044184e-05,-9.58736e-06,-2.3942017e-05,-0.00014365141,-0.03932716,4000,4000,126,0,0,0,1
1771685122872000,1771685122872000,1771685122872000,1310988,1310988,-2.4501136e-05,-3.0892614e-05,2.1305312e-05,-0.00019632452,-0.0002585731,-0.039240967,4000,4000,126,0,0,0,1
1771685122876000,1771685122876000,1771685122876000,1310988,1310988,-2.663164e-05,-3.728423e-05,3.6219e-05,-0.00010534488,-0.0001197094,-0.039092522,4000,4000,126,0,0,0,1
1771685122880000,1771685122880000,1771685122880000,1310988,1310988,-8.522195e-06,-2.3435741e-05,4.793693e-05,9.576807e-06,7.182674e-05,-0.03914999,4000,4000,126,0,0,0,1
1771685122884000,1771685122884000,1771685122884000,1310988,1310988,2.0239955e-05,2.1306314e-06,3.089271e-05,8.619126e-05,2.8731101e-05,-0.039169136,4000,4000,126,0,0,0,1
1771685122888000,1771685122888000,1771685122888000,1310988,1310988,-1.5130514e-12,1.4522726e-11,-8.522116e-06,0.00015801731,-0.0001005558,-0.039102107,4000,4000,126,0,0,0,1
1771685122892000,1771685122892000,1771685122892000,1310988,1310988,-1.4913722e-05,-2.7696864e-05,-1.1717911e-05,0.0001292869,-0.00016759345,-0.039054215,4000,4000,126,0,0,0,1
1771685122896000,1771685122896000,1771685122896000,1310988,1310988,-9.587422e-06,-2.1305268e-05,9.587385e-06,-2.394202e-05,-0.00014843984,-0.0389776,4000,4000,126,0,0,0,1
1771685122900000,1771685122900000,1771685122900000,1310988,1310988,1.1717915e-05,-5.326313e-06,2.4966952e-11,-4.3095635e-05,-6.224856e-05,-0.039082948,4000,4000,126,0,0,0,1
1771685122904000,1771685122904000,1771685122904000,1310988,1310988,3.6219015e-05,-1.0652603e-05,-4.1545307e-05,2.8730417e-05,-0.00017238184,-0.039288852,4000,4000,126,0,0,0,1
1771685122908000,1771685122908000,1771685122908000,1310988,1310988,2.5566384e-05,-4.2609786e-06,-5.539374e-05,-7.661446e-05,-0.0002633615,-0.039274484,4000,4000,126,0,0,0,1
1771685122912000,1771685122912000,1771685122912000,1310988,1310988,2.4501129e-05,7.4567997e-06,-2.8762115e-05,-0.00012449849,-0.00016759345,-0.03914041,4000,4000,126,0,0,0,1
