timestamp,pub_timestamp,unallocated_torque[0],unallocated_torque[1],unallocated_torque[2],unallocated_thrust[0],unallocated_thrust[1],unallocated_thrust[2],handled_motor_failure_mask,publisher_id,torque_setpoint_achieved,thrust_setpoint_achieved,actuator_saturation[0],actuator_saturation[1],actuator_saturation[2],actuator_saturation[3],actuator_saturation[4],actuator_saturation[5],actuator_saturation[6],actuator_saturation[7],actuator_saturation[8],actuator_saturation[9],actuator_saturation[10],actuator_saturation[11],actuator_saturation[12],actuator_saturation[13],actuator_saturation[14],actuator_saturation[15]
1771685123264000,1771685123264000,-0.0007690809,-0.00055501005,-8.884157e-05,0.0,0.0,-1.1641532e-10,0,27,1,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1771685123272000,1771685123272000,-7.2759576e-11,0.0,-1.4551915e-11,0.0,0.0,0.0,0,27,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1771685123280000,1771685123280000,-0.0006808447,5.820766e-11,0.000120841454,0.0,0.0,0.0,0,27,1,1,0,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1771685123288000,1771685123288000,-0.0010146223,-0.00068848603,0.00022205123,0.0,0.0,-1.1641532e-10,0,27,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1771685123296000,1771685123296000,3.4924597e-10,5.820766e-11,0.00017720943,0.0,0.0,-1.1641532e-10,0,27,1,1,0,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1771685123304000,1771685123304000,-0.00062881113,-0.0017677948,0.00021775269,0.0,0.0,-1.1641532e-10,0,27,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1771685123312000,1771685123312000,-0.004431596,-0.00047835254,0.00020755176,0.0,0.0,0.0,0,27,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1771685123320000,1771685123320000,1.928024e-05,-0.0024341105,0.000108708904,0.0,0.0,-1.1641532e-10,0,27,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1771685123328000,1771685123328000,-0.000465235,0.0010165221,1.3094788e-05,0.0,0.0,-1.1641532e-10,0,27,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
1771685123336000,1771685123336000,-0.0013151491,-0.00032122596,5.4098236e-06,0.0,0.0,-1.1641532e-10,0,27,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1771685123344000,1771685123344000,-0.0015932749,-0.0032920956,0.00022922747,0.0,0.0,-1.1641532e-10,0,27,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1771685123352000,1771685123352000,-0.0007775881,0.0,-5.820766e-11,0.0,0.0,-1.1641532e-10,0,27,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
1771685123360000,1771685123360000,-0.003973546,0.0010266324,0.00044715178,0.0,0.0,0.0,0,27,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
1771685123368000,1771685123368000,-0.00020934053,5.820766e-11,0.0005847747,0.0,0.0,0.0,0,27,1,1,0,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1771685123376000,1771685123376000,-0.0013951617,-0.00041417312,0.00062486547,0.0,0.0,-1.1641532e-10,0,27,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1771685123384000,1771685123384000,-0.0012674746,-0.00030943658,0.0006933866,0.0,0.0,-1.1641532e-10,0,27,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
1771685123392000,1771685123392000,-0.0037765964,-2.0979787e-05,0.00071643555,0.0,0.0,-1.1641532e-10,0,27,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
