timestamp,pub_timestamp,publisher_id,flag_armed,flag_multicopter_position_control_enabled,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_position_enabled,flag_control_velocity_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_acceleration_enabled,flag_control_attitude_enabled,flag_control_rates_enabled,flag_control_allocation_enabled,flag_control_termination_enabled,source_id
1771685135272000,1771685135272000,93,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1771685135776000,1771685135776000,93,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1771685136280000,1771685136280000,93,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1771685136784000,1771685136784000,93,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1771685137288000,1771685137288000,93,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1771685137792000,1771685137792000,93,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1771685138296000,1771685138296000,93,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1771685138800000,1771685138800000,93,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1771685139304000,1771685139304000,93,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1771685139808000,1771685139808000,93,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1771685140312000,1771685140312000,93,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1771685140816000,1771685140816000,93,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1771685141320000,1771685141320000,93,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1771685141824000,1771685141824000,93,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1771685142328000,1771685142328000,93,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1771685142832000,1771685142832000,93,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1771685143336000,1771685143336000,93,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1771685143840000,1771685143840000,93,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1771685144344000,1771685144344000,93,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1771685144848000,1771685144848000,93,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1771685145352000,1771685145352000,93,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1771685145856000,1771685145856000,93,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1771685146360000,1771685146360000,93,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1771685146864000,1771685146864000,93,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1771685147368000,1771685147368000,93,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1771685147872000,1771685147872000,93,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1771685148376000,1771685148376000,93,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1771685148880000,1771685148880000,93,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1771685149384000,1771685149384000,93,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1771685149888000,1771685149888000,93,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1771685150392000,1771685150392000,93,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1771685150896000,1771685150896000,93,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1771685151400000,1771685151400000,93,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1771685151904000,1771685151904000,93,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1771685152408000,1771685152408000,93,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1771685152912000,1771685152912000,93,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1771685153416000,1771685153416000,93,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1771685153920000,1771685153920000,93,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1771685154424000,1771685154424000,93,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1771685154928000,1771685154928000,93,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1771685155432000,1771685155432000,93,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1771685155936000,1771685155936000,93,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1771685156440000,1771685156440000,93,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1771685156944000,1771685156944000,93,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1771685157448000,1771685157448000,93,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1771685157952000,1771685157952000,93,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1771685158456000,1771685158456000,93,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1771685158960000,1771685158960000,93,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1771685159464000,1771685159464000,93,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1771685159968000,1771685159968000,93,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1771685160472000,1771685160472000,93,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1771685160976000,1771685160976000,93,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1771685161480000,1771685161480000,93,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
1771685161984000,1771685161984000,93,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
