timestamp,timestamp_sample,pub_timestamp,device_id,bias,bias_var,innov,innov_var,innov_test_ratio,publisher_id
1771685126692000,1771685126536000,0,6620172,0.05636327,0.10340491,-0.11362634,12.367173,0.00011599655,0
1771685126740000,1771685126588000,0,6620172,0.055555783,0.103337884,-0.0958225,12.367077,8.2494575e-05,0
1771685126796000,1771685126640000,0,6620172,0.054606102,0.10340491,-0.112623654,12.367173,0.000113958384,0
1771685126844000,1771685126692000,0,6620172,0.05339681,0.103337884,-0.14350381,12.367077,0.00018501942,0
1771685126900000,1771685126744000,0,6620172,0.052929565,0.10340491,-0.05541097,12.367173,2.7585354e-05,0
1771685126948000,1771685126796000,0,6620172,0.052398924,0.103337884,-0.06296985,12.367077,3.5625068e-05,0
1771685127004000,1771685126848000,0,6620172,0.05172985,0.10340491,-0.07934594,12.367173,5.6563527e-05,0
1771685127052000,1771685126900000,0,6620172,0.050922833,0.103337884,-0.095766716,12.367077,8.239856e-05,0
1771685127108000,1771685126952000,0,6620172,0.050049275,0.10340491,-0.10359617,12.367173,9.642164e-05,0
1771685127156000,1771685127004000,0,6620172,0.04903654,0.103337884,-0.12017867,12.367077,0.0001297613,0
1771685127212000,1771685127056000,0,6620172,0.048467875,0.10340491,-0.06743864,12.367173,4.086059e-05,0
1771685127260000,1771685127108000,0,6620172,0.04811756,0.103337884,-0.041570902,12.367077,1.5526348e-05,0
1771685127316000,1771685127160000,0,6620172,0.047138218,0.10340491,-0.116141245,12.367173,0.00012118811,0
1771685127364000,1771685127212000,0,6620172,0.046465047,0.103337884,-0.079883575,12.367077,5.7333094e-05,0
1771685127420000,1771685127264000,0,6620172,0.045839835,0.10340491,-0.07414449,12.367173,4.939066e-05,0
1771685127468000,1771685127316000,0,6620172,0.04552581,0.103337884,-0.037264396,12.367077,1.2476092e-05,0
1771685127524000,1771685127368000,0,6620172,0.045338012,0.10340491,-0.022271417,12.367173,4.4563853e-06,0
1771685127572000,1771685127420000,0,6620172,0.045224953,0.103337884,-0.013416626,12.367077,1.6172494e-06,0
1771685127628000,1771685127472000,0,6620172,0.044403818,0.10340491,-0.09737949,12.367173,8.519656e-05,0
1771685127676000,1771685127524000,0,6620172,0.043907218,0.103337884,-0.058930185,12.367077,3.120082e-05,0
1771685127732000,1771685127576000,0,6620172,0.043346293,0.10340491,-0.06652074,12.367173,3.975587e-05,0
1771685127780000,1771685127628000,0,6620172,0.042923156,0.103337884,-0.05021275,12.367077,2.2652617e-05,0
1771685127836000,1771685127680000,0,6620172,0.042758074,0.10340491,-0.019577209,12.367173,3.443409e-06,0
1771685127884000,1771685127732000,0,6620172,0.042105354,0.103337884,-0.07745656,12.367077,5.3902248e-05,0
1771685127940000,1771685127784000,0,6620172,0.041911915,0.10340491,-0.022940315,12.367173,4.728091e-06,0
