timestamp,timestamp_sample,pub_timestamp,control_mode_flags,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,hdg_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,mag_inclination_deg,mag_inclination_ref_deg,mag_strength_gs,mag_strength_ref_gs,gps_check_fail_flags,solution_status_flags,publisher_id,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_height,pre_flt_fail_innov_pos_horiz,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
1771685725716000,1771685725564000,1771685725716000,17764060236391,0.00021818158,0.0075123343,0.019501263,0,0.12029016,0.11299669,0.019708388,0.014310539,0.0027223225,0.01099379,nan,nan,nan,0.0,1310988,1310988,6620172,197388,63.131435,63.1572,0.48029816,0.48238713,0,959,160,2,1,3,3,6,0,0,0,0,0,0,0,0
1771685725724000,1771685725572000,1771685725724000,17764060236391,0.00019202993,0.007459615,0.019489504,0,0.12069274,0.113246955,0.018283404,0.014310539,0.0027223225,0.01099379,nan,nan,nan,0.0,1310988,1310988,6620172,197388,62.963284,63.1572,0.48288015,0.48238713,0,959,160,2,1,3,3,6,0,0,0,0,0,0,0,0
1771685725732000,1771685725580000,1771685725732000,17764060236391,0.00019007915,0.0074175796,0.019533012,0,0.121100284,0.113438934,0.018283404,0.014310539,0.0027223225,0.010891714,nan,nan,nan,0.0,1310988,1310988,6620172,197388,62.963284,63.1572,0.48288015,0.48238713,0,959,160,2,1,3,3,6,0,0,0,0,0,0,0,0
1771685725740000,1771685725588000,1771685725740000,17764060236391,0.00018812025,0.0073585925,0.019511031,0,0.12151059,0.11369074,0.018283404,0.014310539,0.0027223225,0.010891714,nan,nan,nan,0.0,1310988,1310988,6620172,197388,62.963284,63.1572,0.48288015,0.48238713,0,959,160,2,1,3,3,6,0,0,0,0,0,0,0,0
1771685725748000,1771685725596000,1771685725748000,17764060236391,0.0001820205,0.0073013264,0.019487798,0,0.121923655,0.11394338,0.018283404,0.014310539,0.0027223225,0.010891714,nan,nan,nan,0.0,1310988,1310988,6620172,197388,62.963284,63.1572,0.48288015,0.48238713,0,959,160,2,1,3,3,6,0,0,0,0,0,0,0,0
1771685725756000,1771685725604000,1771685725756000,17764060236391,0.00017130084,0.0075255455,0.019420767,0,0.11969069,0.112624206,0.018283404,0.014400554,0.0025851317,0.010607012,nan,nan,nan,0.0,1310988,1310988,6620172,197388,62.963284,63.1572,0.48288015,0.48238713,0,959,160,2,1,3,3,6,0,0,0,0,0,0,0,0
1771685725764000,1771685725612000,1771685725764000,17764060236391,0.00016515687,0.0074613066,0.019396354,0,0.120091446,0.11287322,0.018283404,0.014400554,0.0025851317,0.010607012,nan,nan,nan,0.0,1310988,1310988,6620172,197388,62.963284,63.1572,0.48288015,0.48238713,0,959,160,2,1,3,3,6,0,0,0,0,0,0,0,0
1771685725772000,1771685725620000,1771685725772000,17764060236391,0.00015901755,0.0073986514,0.019370675,0,0.12049495,0.11312308,0.018283404,0.014400554,0.0025851317,0.010607012,nan,nan,nan,0.0,1310988,1310988,6620172,197388,62.963284,63.1572,0.48288015,0.48238713,0,959,160,2,1,3,3,6,0,0,0,0,0,0,0,0
1771685725780000,1771685725628000,1771685725780000,17764060236391,0.00015289456,0.007369164,0.019464608,0,0.12090119,0.113314845,0.018283404,0.014400554,0.0025851317,0.010630235,nan,nan,nan,0.0,1310988,1310988,6620172,197388,62.963284,63.1572,0.48288015,0.48238713,0,959,160,2,1,3,3,6,0,0,0,0,0,0,0,0
1771685725788000,1771685725636000,1771685725788000,17764060236391,0.00018593253,0.007316129,0.019432602,0,0.121307835,0.11356624,0.017977612,0.014400554,0.0025851317,0.010630235,nan,nan,nan,0.0,1310988,1310988,6620172,197388,63.24778,63.1572,0.48056105,0.48238713,0,959,160,2,1,3,3,6,0,0,0,0,0,0,0,0
