timestamp,pub_timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,publisher_id,accelerometer_clipping,gyro_clipping,accel_calibration_count,gyro_calibration_count
1771685725608000,1771685725608000,-0.015446357,-0.008522061,-0.0063916096,4000,0,-0.008379707,0.020350885,-9.804257,4000,126,0,0,0,1
1771685725612000,1771685725612000,-0.013049498,0.0007989939,0.0034620685,4000,0,-0.0035913025,0.06943203,-9.809044,4000,126,0,0,0,1
1771685725616000,1771685725616000,-0.0034621174,0.007989502,0.0047936565,4000,0,0.004788404,0.08020593,-9.794681,4000,126,0,0,0,1
1771685725620000,1771685725620000,-0.0010652735,0.0042610555,-0.0007989504,4000,0,-0.004788404,0.041898705,-9.7863,4000,126,0,0,0,1
1771685725624000,1771685725624000,-0.002929487,-0.0015978982,-0.006391582,4000,0,0.014365209,0.0059856754,-9.800665,4000,126,0,0,0,1
1771685725628000,1771685725628000,-0.0002663184,-0.0023968497,-0.0053263204,4000,0,0.02753332,0.014365381,-9.777921,4000,126,0,0,0,1
1771685725632000,1771685725632000,0.006657897,-0.0031958055,0.0010652702,4000,0,0.0035913025,0.055066813,-9.756373,4000,126,0,0,0,1
1771685725636000,1771685725636000,0.0082557965,-0.0023968532,0.005060009,4000,0,-0.01316811,0.058658116,-9.78989,4000,126,0,0,0,1
1771685725640000,1771685725640000,0.00026630488,0.0018641852,0.0101200165,4000,0,-0.014365209,0.0383074,-9.832988,4000,126,0,0,0,1
1771685725644000,1771685725644000,-0.004793701,0.0055926214,0.012783178,4000,0,-0.02633622,0.06105232,-9.837774,4000,126,0,0,0,1
1771685725648000,1771685725648000,-0.0023968418,0.0034621144,0.009587378,4000,0,-0.05267244,0.06224941,-9.809044,4000,126,0,0,0,1
1771685725652000,1771685725652000,0.0037284342,-0.002130516,0.001331578,4000,0,-0.02753332,0.02633639,-9.785104,4000,126,0,0,0,1
1771685725656000,1771685725656000,0.009587386,-0.0037284156,-0.0047936877,4000,0,0.029927524,0.017956685,-9.783906,4000,126,0,0,0,1
1771685725660000,1771685725660000,0.007723171,-0.00026631993,-0.0026631525,4000,0,0.035913024,0.053869713,-9.801861,4000,126,0,0,0,1
1771685725664000,1771685725664000,-0.0005326286,0.004261053,0.001864224,4000,0,0.02513912,0.05985522,-9.810242,4000,126,0,0,0,1
1771685725668000,1771685725668000,-0.0026631558,0.0050600055,0.0061252736,4000,0,0.034715924,0.017956685,-9.801861,4000,126,0,0,0,1
1771685725672000,1771685725672000,0.0005326364,0.0007989525,0.0034621079,4000,0,0.03351883,0.028730592,-9.809044,4000,126,0,0,0,1
1771685725676000,1771685725676000,-0.0015978877,-0.008522118,-0.0026631625,4000,0,0.009576808,0.053869713,-9.813834,4000,126,0,0,0,1
1771685725680000,1771685725680000,-0.007456846,-0.01278317,-0.0058589694,4000,0,0.011971008,0.044292904,-9.800665,4000,126,0,0,0,1
1771685725684000,1771685725684000,-0.01171789,-0.0069242152,-0.0074568843,4000,0,0.035913024,0.0430958,-9.823411,4000,126,0,0,0,1
1771685725688000,1771685725688000,-0.010918966,-0.006657896,-0.005060005,4000,0,0.031124622,0.0395045,-9.847352,4000,126,0,0,0,1
1771685725692000,1771685725692000,-0.0047937203,-0.013315785,0.0034621472,4000,0,0.021547817,0.027533492,-9.8353815,4000,126,0,0,0,1
1771685725696000,1771685725696000,-0.0031958183,-0.011451583,0.008522121,4000,0,-0.004788404,0.0395045,-9.832988,4000,126,0,0,0,1
1771685725700000,1771685725700000,-0.0050600087,-0.002130541,0.002396828,4000,0,-0.039504327,0.059855215,-9.830592,4000,126,0,0,0,1
1771685725704000,1771685725704000,-0.0010652711,0.00639159,0.0021305173,4000,0,-0.046686936,0.046687108,-9.825805,4000,126,0,0,0,1
1771685725708000,1771685725708000,0.00026632388,0.008255803,0.006391583,4000,0,-0.031124622,0.02633639,-9.824608,4000,126,0,0,0,1
1771685725712000,1771685725712000,-0.0034621214,0.011451585,0.004527385,4000,0,-0.004788404,0.034716096,-9.818621,4000,126,0,0,0,1
1771685725716000,1771685725716000,-0.0026631574,0.014913707,0.006924213,4000,0,0.011971009,0.0395045,-9.815031,4000,126,0,0,0,1
1771685725720000,1771685725720000,-0.0031957529,0.00079894863,0.0085221315,4000,0,0.004788404,0.02633639,-9.797074,4000,126,0,0,0,1
1771685725724000,1771685725724000,-0.0029294412,-0.0122505445,0.00506002,4000,0,-0.01316811,0.0059856754,-9.7863,4000,126,0,0,0,1
1771685725728000,1771685725728000,0.0018641924,-0.003994732,0.0066579147,4000,0,0.023942018,0.02633639,-9.785104,4000,126,0,0,0,1
1771685725732000,1771685725732000,-0.0034621358,0.0074568386,0.0071905353,4000,0,0.03351883,0.081403024,-9.763554,4000,126,0,0,0,1
1771685725736000,1771685725736000,-0.009853722,0.005858925,-0.0042610406,4000,0,-0.03351883,0.052672606,-9.759963,4000,126,0,0,0,1
1771685725740000,1771685725740000,-0.007989508,-0.001597922,-0.011185256,4000,0,-0.019153615,-0.0011969302,-9.7874975,4000,126,0,0,0,1
