timestamp,timestamp_sample,pub_timestamp,device_id,pressure,temperature,error_count,publisher_id
1771685726028000,1771685726028000,1771685726028000,6620172,95599.25,0.0,0,25
1771685726032000,1771685726032000,1771685726032000,6620172,95600.695,0.0,0,25
1771685726036000,1771685726036000,1771685726036000,6620172,95598.586,0.0,0,25
1771685726040000,1771685726040000,1771685726040000,6620172,95597.945,0.0,0,25
1771685726044000,1771685726044000,1771685726044000,6620172,95598.09,0.0,0,25
1771685726048000,1771685726048000,1771685726048000,6620172,95598.664,0.0,0,25
1771685726052000,1771685726052000,1771685726052000,6620172,95596.92,0.0,0,25
1771685726056000,1771685726056000,1771685726056000,6620172,95598.39,0.0,0,25
1771685726060000,1771685726060000,1771685726060000,6620172,95599.94,0.0,0,25
1771685726064000,1771685726064000,1771685726064000,6620172,95597.62,0.0,0,25
1771685726068000,1771685726068000,1771685726068000,6620172,95599.03,0.0,0,25
1771685726072000,1771685726072000,1771685726072000,6620172,95598.81,0.0,0,25
1771685726076000,1771685726076000,1771685726076000,6620172,95597.82,0.0,0,25
1771685726080000,1771685726080000,1771685726080000,6620172,95598.92,0.0,0,25
1771685726084000,1771685726084000,1771685726084000,6620172,95599.93,0.0,0,25
1771685726088000,1771685726088000,1771685726088000,6620172,95598.67,0.0,0,25
1771685726092000,1771685726092000,1771685726092000,6620172,95598.83,0.0,0,25
1771685726096000,1771685726096000,1771685726096000,6620172,95599.51,0.0,0,25
1771685726100000,1771685726100000,1771685726100000,6620172,95597.26,0.0,0,25
1771685726104000,1771685726104000,1771685726104000,6620172,95597.28,0.0,0,25
1771685726108000,1771685726108000,1771685726108000,6620172,95595.305,0.0,0,25
1771685726112000,1771685726112000,1771685726112000,6620172,95597.36,0.0,0,25
1771685726116000,1771685726116000,1771685726116000,6620172,95597.69,0.0,0,25
1771685726120000,1771685726120000,1771685726120000,6620172,95597.82,0.0,0,25
1771685726124000,1771685726124000,1771685726124000,6620172,95599.02,0.0,0,25
1771685726128000,1771685726128000,1771685726128000,6620172,95600.94,0.0,0,25
1771685726132000,1771685726132000,1771685726132000,6620172,95599.03,0.0,0,25
1771685726136000,1771685726136000,1771685726136000,6620172,95596.7,0.0,0,25
1771685726140000,1771685726140000,1771685726140000,6620172,95598.96,0.0,0,25
1771685726144000,1771685726144000,1771685726144000,6620172,95600.06,0.0,0,25
1771685726148000,1771685726148000,1771685726148000,6620172,95601.34,0.0,0,25
1771685726152000,1771685726152000,1771685726152000,6620172,95598.84,0.0,0,25
1771685726156000,1771685726156000,1771685726156000,6620172,95598.52,0.0,0,25
1771685726160000,1771685726160000,1771685726160000,6620172,95597.91,0.0,0,25
1771685726164000,1771685726164000,1771685726164000,6620172,95597.6,0.0,0,25
1771685726168000,1771685726168000,1771685726168000,6620172,95600.35,0.0,0,25
1771685726172000,1771685726172000,1771685726172000,6620172,95596.72,0.0,0,25
1771685726176000,1771685726176000,1771685726176000,6620172,95598.32,0.0,0,25
1771685726180000,1771685726180000,1771685726180000,6620172,95598.734,0.0,0,25
1771685726184000,1771685726184000,1771685726184000,6620172,95596.086,0.0,0,25
1771685726188000,1771685726188000,1771685726188000,6620172,95597.43,0.0,0,25
1771685726192000,1771685726192000,1771685726192000,6620172,95597.125,0.0,0,25
1771685726196000,1771685726196000,1771685726196000,6620172,95600.695,0.0,0,25
1771685726200000,1771685726200000,1771685726200000,6620172,95597.805,0.0,0,25
1771685726204000,1771685726204000,1771685726204000,6620172,95597.836,0.0,0,25
1771685726208000,1771685726208000,1771685726208000,6620172,95597.71,0.0,0,25
1771685726212000,1771685726212000,1771685726212000,6620172,95598.414,0.0,0,25
1771685726216000,1771685726216000,1771685726216000,6620172,95598.375,0.0,0,25
1771685726220000,1771685726220000,1771685726220000,6620172,95597.23,0.0,0,25
1771685726224000,1771685726224000,1771685726224000,6620172,95597.77,0.0,0,25
1771685726228000,1771685726228000,1771685726228000,6620172,95600.336,0.0,0,25
1771685726232000,1771685726232000,1771685726232000,6620172,95598.67,0.0,0,25
1771685726236000,1771685726236000,1771685726236000,6620172,95598.63,0.0,0,25
1771685726240000,1771685726240000,1771685726240000,6620172,95599.7,0.0,0,25
1771685726244000,1771685726244000,1771685726244000,6620172,95598.484,0.0,0,25
1771685726248000,1771685726248000,1771685726248000,6620172,95597.98,0.0,0,25
1771685726252000,1771685726252000,1771685726252000,6620172,95598.39,0.0,0,25
1771685726256000,1771685726256000,1771685726256000,6620172,95598.61,0.0,0,25
1771685726260000,1771685726260000,1771685726260000,6620172,95597.336,0.0,0,25
1771685726264000,1771685726264000,1771685726264000,6620172,95599.94,0.0,0,25
1771685726268000,1771685726268000,1771685726268000,6620172,95598.27,0.0,0,25
1771685726272000,1771685726272000,1771685726272000,6620172,95598.62,0.0,0,25
1771685726276000,1771685726276000,1771685726276000,6620172,95598.48,0.0,0,25
1771685726280000,1771685726280000,1771685726280000,6620172,95598.0,0.0,0,25
1771685726284000,1771685726284000,1771685726284000,6620172,95597.055,0.0,0,25
1771685726288000,1771685726288000,1771685726288000,6620172,95599.71,0.0,0,25
1771685726292000,1771685726292000,1771685726292000,6620172,95598.42,0.0,0,25
1771685726296000,1771685726296000,1771685726296000,6620172,95598.28,0.0,0,25
1771685726300000,1771685726300000,1771685726300000,6620172,95597.445,0.0,0,25
1771685726304000,1771685726304000,1771685726304000,6620172,95599.39,0.0,0,25
1771685726308000,1771685726308000,1771685726308000,6620172,95597.59,0.0,0,25
1771685726312000,1771685726312000,1771685726312000,6620172,95597.78,0.0,0,25
1771685726316000,1771685726316000,1771685726316000,6620172,95596.445,0.0,0,25
1771685726320000,1771685726320000,1771685726320000,6620172,95598.76,0.0,0,25
1771685726324000,1771685726324000,1771685726324000,6620172,95596.984,0.0,0,25
1771685726328000,1771685726328000,1771685726328000,6620172,95600.1,0.0,0,25
1771685726332000,1771685726332000,1771685726332000,6620172,95599.016,0.0,0,25
1771685726336000,1771685726336000,1771685726336000,6620172,95598.625,0.0,0,25
1771685726340000,1771685726340000,1771685726340000,6620172,95598.25,0.0,0,25
1771685726344000,1771685726344000,1771685726344000,6620172,95600.77,0.0,0,25
1771685726348000,1771685726348000,1771685726348000,6620172,95598.516,0.0,0,25
1771685726352000,1771685726352000,1771685726352000,6620172,95599.6,0.0,0,25
1771685726356000,1771685726356000,1771685726356000,6620172,95594.73,0.0,0,25
1771685726360000,1771685726360000,1771685726360000,6620172,95599.63,0.0,0,25
1771685726364000,1771685726364000,1771685726364000,6620172,95596.11,0.0,0,25
1771685726368000,1771685726368000,1771685726368000,6620172,95597.305,0.0,0,25
1771685726372000,1771685726372000,1771685726372000,6620172,95598.73,0.0,0,25
1771685726376000,1771685726376000,1771685726376000,6620172,95597.836,0.0,0,25
1771685726380000,1771685726380000,1771685726380000,6620172,95598.82,0.0,0,25
1771685726384000,1771685726384000,1771685726384000,6620172,95597.87,0.0,0,25
1771685726388000,1771685726388000,1771685726388000,6620172,95596.7,0.0,0,25
1771685726392000,1771685726392000,1771685726392000,6620172,95596.32,0.0,0,25
1771685726396000,1771685726396000,1771685726396000,6620172,95599.445,0.0,0,25
