timestamp,pub_timestamp,speed_up,speed_down,publisher_id,want_takeoff
1771685768868000,1771685768868000,3.6000001,1.8000001,14,0
1771685768884000,1771685768884000,3.6000001,1.8000001,14,0
1771685768908000,1771685768908000,3.6000001,1.8000001,14,0
1771685768924000,1771685768924000,3.6000001,1.8000001,14,0
1771685768948000,1771685768948000,3.6000001,1.8000001,14,0
1771685768964000,1771685768964000,3.6000001,1.8000001,14,0
1771685768988000,1771685768988000,3.6000001,1.8000001,14,0
1771685769004000,1771685769004000,3.6000001,1.8000001,14,0
1771685769028000,1771685769028000,3.6000001,1.8000001,14,0
1771685769044000,1771685769044000,3.6000001,1.8000001,14,0
1771685769068000,1771685769068000,3.6000001,1.8000001,14,0
1771685769084000,1771685769084000,3.6000001,1.8000001,14,0
1771685769108000,1771685769108000,3.6000001,1.8000001,14,0
1771685769124000,1771685769124000,3.6000001,1.8000001,14,0
1771685769148000,1771685769148000,3.6000001,1.8000001,14,0
1771685769164000,1771685769164000,3.6000001,1.8000001,14,0
1771685769188000,1771685769188000,3.6000001,1.8000001,14,0
1771685769204000,1771685769204000,3.6000001,1.8000001,14,0
1771685769228000,1771685769228000,3.6000001,1.8000001,14,0
1771685769244000,1771685769244000,3.6000001,1.8000001,14,0
1771685769268000,1771685769268000,3.6000001,1.8000001,14,0
1771685769284000,1771685769284000,3.6000001,1.8000001,14,0
1771685769308000,1771685769308000,3.6000001,1.8000001,14,0
1771685769324000,1771685769324000,3.6000001,1.8000001,14,0
1771685769348000,1771685769348000,3.6000001,1.8000001,14,0
1771685769364000,1771685769364000,3.6000001,1.8000001,14,0
1771685769388000,1771685769388000,3.6000001,1.8000001,14,0
1771685769404000,1771685769404000,3.6000001,1.8000001,14,0
1771685769428000,1771685769428000,3.6000001,1.8000001,14,0
1771685769444000,1771685769444000,3.6000001,1.8000001,14,0
1771685769468000,1771685769468000,3.6000001,1.8000001,14,0
1771685769484000,1771685769484000,3.6000001,1.8000001,14,0
1771685769508000,1771685769508000,3.6000001,1.8000001,14,0
1771685769524000,1771685769524000,3.6000001,1.8000001,14,0
1771685769548000,1771685769548000,3.6000001,1.8000001,14,0
1771685769564000,1771685769564000,3.6000001,1.8000001,14,0
1771685769588000,1771685769588000,3.6000001,1.8000001,14,0
1771685769604000,1771685769604000,3.6000001,1.8000001,14,0
1771685769628000,1771685769628000,3.6000001,1.8000001,14,0
1771685769644000,1771685769644000,3.6000001,1.8000001,14,0
1771685769668000,1771685769668000,3.6000001,1.8000001,14,0
1771685769684000,1771685769684000,3.6000001,1.8000001,14,0
1771685769708000,1771685769708000,3.6000001,1.8000001,14,0
1771685769724000,1771685769724000,3.6000001,1.8000001,14,0
1771685769748000,1771685769748000,3.6000001,1.8000001,14,0
1771685769764000,1771685769764000,3.6000001,1.8000001,14,0
1771685769788000,1771685769788000,3.6000001,1.8000001,14,0
1771685769804000,1771685769804000,3.6000001,1.8000001,14,0
