timestamp,pub_timestamp,timestamp_sample,device_id,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],publisher_id,calibration_count
1771685731280000,1771685731280000,1771685731216000,197388,0.2146671,0.0075648096,0.4288708,126,0
1771685731284000,1771685731284000,1771685731284000,197388,0.21930599,0.018867318,0.42679918,126,0
1771685731416000,1771685731416000,1771685731352000,197388,0.21426417,0.0070099677,0.43087503,126,0
1771685731420000,1771685731420000,1771685731420000,197388,0.2175962,0.005206741,0.4327186,126,0
1771685731552000,1771685731552000,1771685731488000,197388,0.21403489,0.007931708,0.430037,126,0
1771685731556000,1771685731556000,1771685731556000,197388,0.21497566,0.011844595,0.42890504,126,0
1771685731688000,1771685731688000,1771685731624000,197388,0.21378016,0.008492444,0.4311832,126,0
1771685731692000,1771685731692000,1771685731692000,197388,0.22057018,0.0020499786,0.42239738,126,0
1771685731824000,1771685731824000,1771685731760000,197388,0.21364461,0.007659897,0.43002966,126,0
1771685731828000,1771685731828000,1771685731828000,197388,0.20971687,0.010297597,0.4188373,126,0
1771685731960000,1771685731960000,1771685731896000,197388,0.21525973,0.0071154702,0.42992264,126,0
1771685731964000,1771685731964000,1771685731964000,197388,0.22015265,0.016091,0.42930388,126,0
1771685732096000,1771685732096000,1771685732032000,197388,0.21314743,0.0066380566,0.43009254,126,0
1771685732100000,1771685732100000,1771685732100000,197388,0.21404456,-0.0025860188,0.4224681,126,0
1771685732232000,1771685732232000,1771685732168000,197388,0.21348004,0.006985818,0.4296921,126,0
1771685732236000,1771685732236000,1771685732236000,197388,0.21419632,0.008719052,0.43580398,126,0
1771685732368000,1771685732368000,1771685732304000,197388,0.21451084,0.006502629,0.42968914,126,0
1771685732372000,1771685732372000,1771685732372000,197388,0.21378495,0.0050851833,0.41997793,126,0
1771685732504000,1771685732504000,1771685732440000,197388,0.21512266,0.006371409,0.430871,126,0
1771685732508000,1771685732508000,1771685732508000,197388,0.21327005,0.00678118,0.43489546,126,0
1771685732640000,1771685732640000,1771685732576000,197388,0.21475647,0.006427961,0.43128654,126,0
1771685732644000,1771685732644000,1771685732644000,197388,0.21037693,0.0045081256,0.4280665,126,0
1771685732776000,1771685732776000,1771685732712000,197388,0.21519276,0.0061702104,0.43137547,126,0
1771685732780000,1771685732780000,1771685732780000,197388,0.21865992,0.0119569,0.4219057,126,0
1771685732912000,1771685732912000,1771685732848000,197388,0.21492931,0.0044741165,0.43000004,126,0
1771685732916000,1771685732916000,1771685732916000,197388,0.21839517,-0.0016310301,0.42983943,126,0
1771685733048000,1771685733048000,1771685732984000,197388,0.21447694,0.006846933,0.43026343,126,0
1771685733052000,1771685733052000,1771685733052000,197388,0.20315008,0.01170369,0.43428963,126,0
1771685733184000,1771685733184000,1771685733120000,197388,0.21480756,0.006529163,0.431029,126,0
1771685733188000,1771685733188000,1771685733188000,197388,0.21170478,0.008724092,0.4288252,126,0
1771685733320000,1771685733320000,1771685733256000,197388,0.21541812,0.0065045278,0.42904183,126,0
1771685733324000,1771685733324000,1771685733324000,197388,0.21343274,0.006160616,0.42754477,126,0
1771685733456000,1771685733456000,1771685733392000,197388,0.21504268,0.004190084,0.42977297,126,0
1771685733460000,1771685733460000,1771685733460000,197388,0.21374683,0.003329925,0.43340555,126,0
1771685733592000,1771685733592000,1771685733528000,197388,0.21582696,0.0073276027,0.42991096,126,0
1771685733596000,1771685733596000,1771685733596000,197388,0.21556011,0.011719807,0.42387047,126,0
1771685733728000,1771685733728000,1771685733664000,197388,0.21637206,0.0062785237,0.42869908,126,0
1771685733732000,1771685733732000,1771685733732000,197388,0.20400733,0.0048293,0.42950922,126,0
1771685733864000,1771685733864000,1771685733800000,197388,0.21753342,0.006205915,0.4283299,126,0
1771685733868000,1771685733868000,1771685733868000,197388,0.21481061,0.0020991394,0.4312583,126,0
1771685734000000,1771685734000000,1771685733936000,197388,0.21676849,0.0059969965,0.42930982,126,0
1771685734004000,1771685734004000,1771685734004000,197388,0.2183606,0.014305056,0.4340462,126,0
1771685734136000,1771685734136000,1771685734072000,197388,0.21501683,0.004502202,0.42934278,126,0
1771685734140000,1771685734140000,1771685734140000,197388,0.21725155,0.0029433707,0.42530367,126,0
1771685734272000,1771685734272000,1771685734208000,197388,0.2160056,0.0062345434,0.42864996,126,0
1771685734276000,1771685734276000,1771685734276000,197388,0.21060917,0.006589891,0.4376162,126,0
1771685734408000,1771685734408000,1771685734344000,197388,0.21569243,0.0060703577,0.42764926,126,0
1771685734412000,1771685734412000,1771685734412000,197388,0.22700855,0.0012592829,0.42159042,126,0
1771685734544000,1771685734544000,1771685734480000,197388,0.2152971,0.006021033,0.42867428,126,0
1771685734548000,1771685734548000,1771685734548000,197388,0.20860156,0.016353525,0.42806834,126,0
1771685734680000,1771685734680000,1771685734616000,197388,0.21468052,0.0061406204,0.42854267,126,0
1771685734684000,1771685734684000,1771685734684000,197388,0.20460543,0.008381649,0.4257842,126,0
1771685734816000,1771685734816000,1771685734752000,197388,0.21738862,0.0056896666,0.4290673,126,0
1771685734820000,1771685734820000,1771685734820000,197388,0.22070584,0.0060645873,0.4297113,126,0
1771685734952000,1771685734952000,1771685734888000,197388,0.21571141,0.005769608,0.42995,126,0
1771685734956000,1771685734956000,1771685734956000,197388,0.21858688,0.0049642227,0.43300253,126,0
1771685735088000,1771685735088000,1771685735024000,197388,0.21599978,0.0064919638,0.4303356,126,0
1771685735092000,1771685735092000,1771685735092000,197388,0.21142243,0.00067706284,0.42981523,126,0
1771685735224000,1771685735224000,1771685735160000,197388,0.21573563,0.007791057,0.42771703,126,0
1771685735228000,1771685735228000,1771685735228000,197388,0.21212184,0.0074047837,0.4288392,126,0
1771685735360000,1771685735360000,1771685735296000,197388,0.21685661,0.0072516385,0.4288928,126,0
1771685735364000,1771685735364000,1771685735364000,197388,0.21732906,0.00071556616,0.42391533,126,0
1771685735496000,1771685735496000,1771685735432000,197388,0.21576126,0.0058985036,0.4296816,126,0
1771685735500000,1771685735500000,1771685735500000,197388,0.21427113,0.007894954,0.42441523,126,0
1771685735632000,1771685735632000,1771685735568000,197388,0.21680005,0.0054494,0.42989606,126,0
1771685735636000,1771685735636000,1771685735636000,197388,0.21701178,-0.004167593,0.4375228,126,0
1771685735768000,1771685735768000,1771685735704000,197388,0.21489976,0.003557997,0.4300656,126,0
1771685735772000,1771685735772000,1771685735772000,197388,0.21370843,0.005945195,0.43339083,126,0
1771685735904000,1771685735904000,1771685735840000,197388,0.2154554,0.005848499,0.42903537,126,0
1771685735908000,1771685735908000,1771685735908000,197388,0.2105898,0.006770483,0.43638125,126,0
1771685736040000,1771685736040000,1771685735976000,197388,0.21635115,0.005813854,0.43066898,126,0
1771685736044000,1771685736044000,1771685736044000,197388,0.21577121,0.011145862,0.43430957,126,0
1771685736176000,1771685736176000,1771685736112000,197388,0.21419844,0.004410229,0.4285724,126,0
1771685736180000,1771685736180000,1771685736180000,197388,0.22028776,0.0051502977,0.42557704,126,0
1771685736312000,1771685736312000,1771685736248000,197388,0.21608612,0.005491961,0.43109173,126,0
1771685736316000,1771685736316000,1771685736316000,197388,0.22028874,0.006241633,0.4389567,126,0
1771685736448000,1771685736448000,1771685736384000,197388,0.2155065,0.0037699244,0.42874792,126,0
1771685736452000,1771685736452000,1771685736452000,197388,0.22066708,-0.00020719018,0.42950028,126,0
1771685736584000,1771685736584000,1771685736520000,197388,0.21700433,0.0048088864,0.42879355,126,0
1771685736588000,1771685736588000,1771685736588000,197388,0.2130595,0.0026218726,0.43399033,126,0
1771685736720000,1771685736720000,1771685736656000,197388,0.21497563,0.0049853357,0.42810094,126,0
1771685736724000,1771685736724000,1771685736724000,197388,0.2089515,0.0012556207,0.42719987,126,0
1771685736856000,1771685736856000,1771685736792000,197388,0.21626487,0.0051612677,0.42988363,126,0
1771685736860000,1771685736860000,1771685736860000,197388,0.21392302,-0.00199339,0.43730745,126,0
1771685736992000,1771685736992000,1771685736928000,197388,0.21649925,0.0050172987,0.4288891,126,0
1771685736996000,1771685736996000,1771685736996000,197388,0.21180405,-0.0048556603,0.42575243,126,0
1771685737128000,1771685737128000,1771685737064000,197388,0.21372841,0.0051137498,0.4287782,126,0
1771685737132000,1771685737132000,1771685737132000,197388,0.2152111,0.005669813,0.4363824,126,0
1771685737264000,1771685737264000,1771685737200000,197388,0.21455699,0.005505478,0.4300399,126,0
1771685737268000,1771685737268000,1771685737268000,197388,0.22052772,0.008387376,0.42627484,126,0
1771685737400000,1771685737400000,1771685737336000,197388,0.2149265,0.006129691,0.4300279,126,0
1771685737404000,1771685737404000,1771685737404000,197388,0.21860406,0.014640597,0.42439726,126,0
1771685737536000,1771685737536000,1771685737472000,197388,0.21420951,0.0035910637,0.43134606,126,0
1771685737540000,1771685737540000,1771685737540000,197388,0.21931806,0.017530102,0.43261993,126,0
1771685737672000,1771685737672000,1771685737608000,197388,0.21588087,0.004974221,0.42855152,126,0
1771685737676000,1771685737676000,1771685737676000,197388,0.21965078,0.003561467,0.43203294,126,0
1771685737808000,1771685737808000,1771685737744000,197388,0.216128,0.0049647805,0.43041778,126,0
1771685737812000,1771685737812000,1771685737812000,197388,0.21095766,0.010002177,0.42444962,126,0
1771685737944000,1771685737944000,1771685737880000,197388,0.2176102,0.0039415616,0.4302495,126,0
1771685737948000,1771685737948000,1771685737948000,197388,0.22030333,0.0017281044,0.4320936,126,0
1771685738080000,1771685738080000,1771685738016000,197388,0.21632442,0.0033217208,0.43020508,126,0
1771685738084000,1771685738084000,1771685738084000,197388,0.2148828,0.00753508,0.4318029,126,0
1771685738216000,1771685738216000,1771685738152000,197388,0.21488635,0.0027623996,0.4287098,126,0
1771685738220000,1771685738220000,1771685738220000,197388,0.2140509,-0.00011419802,0.43058297,126,0
1771685738352000,1771685738352000,1771685738288000,197388,0.2171848,0.004204758,0.43105415,126,0
1771685738356000,1771685738356000,1771685738356000,197388,0.21870556,0.0042549674,0.43807513,126,0
