timestamp,pub_timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7],control[8],control[9],control[10],control[11],reversible_flags,publisher_id
1771685728956000,1771685728956000,1771685728956000,0.46392003,0.4655356,0.46361932,0.4679003,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685728960000,1771685728960000,1771685728960000,0.4634379,0.46590957,0.46308923,0.46853855,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685728964000,1771685728964000,1771685728964000,0.4608221,0.4694407,0.46121883,0.47141635,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685728968000,1771685728968000,1771685728968000,0.45782146,0.47249615,0.458881,0.4736994,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685728972000,1771685728972000,1771685728972000,0.4590359,0.47378138,0.46021786,0.47465804,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685728976000,1771685728976000,1771685728976000,0.4611416,0.47175407,0.46175724,0.47304028,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685728980000,1771685728980000,1771685728980000,0.46420676,0.46942118,0.46322244,0.4722782,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685728984000,1771685728984000,1771685728984000,0.4664415,0.46713355,0.46427158,0.47128195,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685728988000,1771685728988000,1771685728988000,0.4675722,0.4666483,0.46579885,0.47056666,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685728992000,1771685728992000,1771685728992000,0.4666277,0.4675072,0.46559313,0.470858,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685728996000,1771685728996000,1771685728996000,0.46972078,0.47202024,0.46861452,0.47552612,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729000000,1771685729000000,1771685729000000,0.47037736,0.47139752,0.4688634,0.4752434,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729004000,1771685729004000,1771685729004000,0.47053513,0.47216552,0.46884036,0.47598562,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729008000,1771685729008000,1771685729008000,0.46832284,0.4745019,0.4671631,0.4775388,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729012000,1771685729012000,1771685729012000,0.46869168,0.47677225,0.4686325,0.4785158,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729016000,1771685729016000,1771685729016000,0.47004718,0.47548825,0.4708057,0.4762711,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729020000,1771685729020000,1771685729020000,0.4720754,0.4744359,0.47234067,0.47556806,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729024000,1771685729024000,1771685729024000,0.4720198,0.47455332,0.47154275,0.47630417,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729028000,1771685729028000,1771685729028000,0.47143555,0.4761141,0.47061244,0.47811714,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729032000,1771685729032000,1771685729032000,0.47041535,0.477252,0.469258,0.47935385,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729036000,1771685729036000,1771685729036000,0.47427875,0.4813602,0.47230372,0.48398086,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729040000,1771685729040000,1771685729040000,0.47598484,0.4796914,0.4726886,0.48355874,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729044000,1771685729044000,1771685729044000,0.477894,0.47865778,0.47399428,0.4832581,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729048000,1771685729048000,1771685729048000,0.47612214,0.4803134,0.47432408,0.48304456,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729052000,1771685729052000,1771685729052000,0.47434312,0.484362,0.47535917,0.48467478,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729056000,1771685729056000,1771685729056000,0.47426298,0.48418176,0.47505185,0.4852425,nan,nan,nan,nan,nan,nan,nan,nan,0,27
1771685729060000,1771685729060000,1771685729060000,0.47782493,0.4812765,0.4754802,0.4857682,nan,nan,nan,nan,nan,nan,nan,nan,0,27
