timestamp,timestamp_sample,pub_timestamp,information_event_changes,publisher_id,gps_checks_passed,reset_vel_to_gps,reset_vel_to_flow,reset_vel_to_vision,reset_vel_to_zero,reset_pos_to_last_known,reset_pos_to_gps,reset_pos_to_vision,starting_gps_fusion,starting_vision_pos_fusion,starting_vision_vel_fusion,starting_vision_yaw_fusion,yaw_aligned_to_imu_gps,reset_hgt_to_baro,reset_hgt_to_gps,reset_hgt_to_rng,reset_hgt_to_ev
1771685812492000,1771684928340000,1771685812492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685813492000,1771684928340000,1771685813492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685814492000,1771684928340000,1771685814492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685815492000,1771684928340000,1771685815492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685816492000,1771684928340000,1771685816492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685817492000,1771684928340000,1771685817492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685818492000,1771684928340000,1771685818492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685819492000,1771684928340000,1771685819492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685820492000,1771684928340000,1771685820492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685821492000,1771684928340000,1771685821492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685822492000,1771684928340000,1771685822492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685823492000,1771684928340000,1771685823492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685824492000,1771684928340000,1771685824492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685825492000,1771684928340000,1771685825492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685826492000,1771684928340000,1771685826492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685827492000,1771684928340000,1771685827492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685828492000,1771684928340000,1771685828492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685829492000,1771684928340000,1771685829492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685830492000,1771684928340000,1771685830492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685831492000,1771684928340000,1771685831492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685832492000,1771684928340000,1771685832492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1771685833492000,1771684928340000,1771685833492000,3,160,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
