timestamp,pub_timestamp,publisher_id,geofence_max_dist_triggered,geofence_max_alt_triggered,geofence_custom_fence_triggered,geofence_action
1771685377492000,1771685377492000,96,0,0,0,2
1771685377740000,1771685377740000,96,0,0,0,2
1771685377996000,1771685377996000,96,0,0,0,2
1771685378244000,1771685378244000,96,0,0,0,2
1771685378500000,1771685378500000,96,0,0,0,2
1771685378748000,1771685378748000,96,0,0,0,2
1771685379004000,1771685379004000,96,0,0,0,2
1771685379252000,1771685379252000,96,0,0,0,2
1771685379508000,1771685379508000,96,0,0,0,2
1771685379756000,1771685379756000,96,0,0,0,2
1771685380012000,1771685380012000,96,0,0,0,2
1771685380260000,1771685380260000,96,0,0,0,2
1771685380516000,1771685380516000,96,0,0,0,2
1771685380764000,1771685380764000,96,0,0,0,2
1771685381020000,1771685381020000,96,0,0,0,2
1771685381268000,1771685381268000,96,0,0,0,2
1771685381524000,1771685381524000,96,0,0,0,2
1771685381772000,1771685381772000,96,0,0,0,2
1771685382028000,1771685382028000,96,0,0,0,2
1771685382276000,1771685382276000,96,0,0,0,2
1771685382532000,1771685382532000,96,0,0,0,2
1771685382780000,1771685382780000,96,0,0,0,2
1771685383036000,1771685383036000,96,0,0,0,2
1771685383284000,1771685383284000,96,0,0,0,2
1771685383540000,1771685383540000,96,0,0,0,2
1771685383788000,1771685383788000,96,0,0,0,2
1771685384044000,1771685384044000,96,0,0,0,2
1771685384292000,1771685384292000,96,0,0,0,2
1771685384548000,1771685384548000,96,0,0,0,2
1771685384796000,1771685384796000,96,0,0,0,2
1771685385052000,1771685385052000,96,0,0,0,2
1771685385300000,1771685385300000,96,0,0,0,2
1771685385556000,1771685385556000,96,0,0,0,2
1771685385804000,1771685385804000,96,0,0,0,2
1771685386060000,1771685386060000,96,0,0,0,2
1771685386308000,1771685386308000,96,0,0,0,2
1771685386564000,1771685386564000,96,0,0,0,2
1771685386812000,1771685386812000,96,0,0,0,2
1771685387068000,1771685387068000,96,0,0,0,2
1771685387316000,1771685387316000,96,0,0,0,2
1771685387572000,1771685387572000,96,0,0,0,2
1771685387820000,1771685387820000,96,0,0,0,2
1771685388076000,1771685388076000,96,0,0,0,2
1771685388324000,1771685388324000,96,0,0,0,2
1771685388580000,1771685388580000,96,0,0,0,2
1771685388828000,1771685388828000,96,0,0,0,2
1771685389084000,1771685389084000,96,0,0,0,2
1771685389332000,1771685389332000,96,0,0,0,2
1771685389588000,1771685389588000,96,0,0,0,2
1771685389836000,1771685389836000,96,0,0,0,2
1771685390092000,1771685390092000,96,0,0,0,2
1771685390340000,1771685390340000,96,0,0,0,2
1771685390596000,1771685390596000,96,0,0,0,2
1771685390844000,1771685390844000,96,0,0,0,2
1771685391100000,1771685391100000,96,0,0,0,2
1771685391348000,1771685391348000,96,0,0,0,2
1771685391604000,1771685391604000,96,0,0,0,2
1771685391852000,1771685391852000,96,0,0,0,2
1771685392108000,1771685392108000,96,0,0,0,2
1771685392356000,1771685392356000,96,0,0,0,2
1771685392612000,1771685392612000,96,0,0,0,2
1771685392860000,1771685392860000,96,0,0,0,2
1771685393116000,1771685393116000,96,0,0,0,2
