timestamp,pub_timestamp,airspeed_timestamp_rel,airspeed_validated_timestamp_rel,distance_sensor_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel,publisher_id
1771685326980000,1771685326980000,32767,32767,32767,32767,32767,32767,32767,160
1771685326984000,1771685326984000,32767,32767,32767,32767,32767,32767,32767,160
1771685326988000,1771685326988000,32767,32767,32767,32767,32767,32767,32767,160
1771685326992000,1771685326992000,32767,32767,32767,32767,32767,32767,32767,160
1771685326996000,1771685326996000,32767,32767,32767,32767,32767,32767,32767,160
1771685327000000,1771685327000000,32767,32767,32767,32767,32767,32767,32767,160
1771685327004000,1771685327004000,32767,32767,32767,32767,32767,32767,32767,160
1771685327008000,1771685327008000,32767,32767,32767,32767,32767,32767,32767,160
1771685327012000,1771685327012000,32767,32767,32767,32767,32767,32767,32767,160
1771685327016000,1771685327016000,32767,32767,32767,32767,32767,32767,32767,160
1771685327020000,1771685327020000,32767,32767,32767,32767,32767,32767,32767,160
1771685327024000,1771685327024000,32767,32767,32767,32767,0,32767,32767,160
1771685327028000,1771685327028000,32767,32767,32767,32767,32767,32767,32767,160
1771685327032000,1771685327032000,32767,32767,32767,32767,32767,32767,32767,160
1771685327036000,1771685327036000,32767,32767,32767,32767,32767,32767,32767,160
1771685327040000,1771685327040000,32767,32767,32767,32767,32767,32767,32767,160
1771685327044000,1771685327044000,32767,32767,32767,32767,32767,32767,32767,160
1771685327048000,1771685327048000,32767,32767,32767,32767,32767,32767,32767,160
1771685327052000,1771685327052000,32767,32767,32767,32767,32767,32767,32767,160
1771685327056000,1771685327056000,32767,32767,32767,32767,32767,32767,32767,160
1771685327060000,1771685327060000,32767,32767,32767,32767,32767,32767,32767,160
1771685327064000,1771685327064000,32767,32767,32767,32767,32767,32767,32767,160
1771685327068000,1771685327068000,32767,32767,32767,32767,32767,32767,32767,160
1771685327072000,1771685327072000,32767,32767,32767,32767,32767,32767,32767,160
1771685327076000,1771685327076000,32767,32767,32767,32767,0,32767,32767,160
1771685327080000,1771685327080000,32767,32767,32767,32767,32767,32767,32767,160
1771685327084000,1771685327084000,32767,32767,32767,32767,32767,32767,32767,160
1771685327088000,1771685327088000,32767,32767,32767,32767,32767,0,32767,160
1771685327092000,1771685327092000,32767,32767,32767,32767,32767,0,32767,160
1771685327096000,1771685327096000,32767,32767,32767,32767,32767,32767,32767,160
1771685327100000,1771685327100000,32767,32767,32767,32767,32767,32767,32767,160
1771685327104000,1771685327104000,32767,32767,32767,32767,32767,32767,32767,160
1771685327108000,1771685327108000,32767,32767,32767,32767,32767,32767,32767,160
1771685327112000,1771685327112000,32767,32767,32767,32767,32767,32767,32767,160
1771685327116000,1771685327116000,32767,32767,32767,32767,32767,32767,32767,160
1771685327120000,1771685327120000,32767,32767,32767,32767,32767,32767,32767,160
1771685327124000,1771685327124000,32767,32767,32767,32767,32767,32767,32767,160
1771685327128000,1771685327128000,32767,32767,32767,32767,0,32767,32767,160
1771685327132000,1771685327132000,32767,32767,32767,32767,32767,32767,32767,160
1771685327136000,1771685327136000,32767,32767,32767,32767,32767,32767,32767,160
1771685327140000,1771685327140000,32767,32767,32767,32767,32767,32767,32767,160
1771685327144000,1771685327144000,32767,32767,32767,32767,32767,32767,32767,160
1771685327148000,1771685327148000,32767,32767,32767,32767,32767,32767,32767,160
1771685327152000,1771685327152000,32767,32767,32767,32767,32767,32767,32767,160
1771685327156000,1771685327156000,32767,32767,32767,32767,32767,32767,32767,160
1771685327160000,1771685327160000,32767,32767,32767,32767,32767,32767,32767,160
1771685327164000,1771685327164000,32767,32767,32767,32767,32767,32767,32767,160
1771685327168000,1771685327168000,32767,32767,32767,32767,32767,32767,32767,160
1771685327172000,1771685327172000,32767,32767,32767,32767,32767,32767,32767,160
1771685327176000,1771685327176000,32767,32767,32767,32767,32767,32767,32767,160
1771685327180000,1771685327180000,32767,32767,32767,32767,0,32767,32767,160
1771685327184000,1771685327184000,32767,32767,32767,32767,32767,32767,32767,160
1771685327188000,1771685327188000,32767,32767,32767,32767,32767,32767,32767,160
1771685327192000,1771685327192000,32767,32767,32767,32767,32767,32767,32767,160
1771685327196000,1771685327196000,32767,32767,32767,32767,32767,32767,32767,160
1771685327200000,1771685327200000,32767,32767,32767,32767,32767,32767,32767,160
1771685327204000,1771685327204000,32767,32767,32767,32767,32767,32767,32767,160
1771685327208000,1771685327208000,32767,32767,32767,32767,32767,32767,32767,160
1771685327212000,1771685327212000,32767,32767,32767,32767,32767,32767,32767,160
1771685327216000,1771685327216000,32767,32767,32767,32767,32767,32767,32767,160
1771685327220000,1771685327220000,32767,32767,32767,32767,32767,32767,32767,160
1771685327224000,1771685327224000,32767,32767,32767,32767,32767,0,32767,160
1771685327228000,1771685327228000,32767,32767,32767,32767,32767,0,32767,160
1771685327232000,1771685327232000,32767,32767,32767,32767,0,32767,32767,160
1771685327236000,1771685327236000,32767,32767,32767,32767,32767,32767,32767,160
1771685327240000,1771685327240000,32767,32767,32767,32767,32767,32767,32767,160
1771685327244000,1771685327244000,32767,32767,32767,32767,32767,32767,32767,160
1771685327248000,1771685327248000,32767,32767,32767,32767,32767,32767,32767,160
1771685327252000,1771685327252000,32767,32767,32767,32767,32767,32767,32767,160
1771685327256000,1771685327256000,32767,32767,32767,32767,32767,32767,32767,160
1771685327260000,1771685327260000,32767,32767,32767,32767,32767,32767,32767,160
1771685327264000,1771685327264000,32767,32767,32767,32767,32767,32767,32767,160
1771685327268000,1771685327268000,32767,32767,32767,32767,32767,32767,32767,160
1771685327272000,1771685327272000,32767,32767,32767,32767,32767,32767,32767,160
1771685327276000,1771685327276000,32767,32767,32767,32767,32767,32767,32767,160
1771685327280000,1771685327280000,32767,32767,32767,32767,32767,32767,32767,160
1771685327284000,1771685327284000,32767,32767,32767,32767,0,32767,32767,160
