timestamp,pub_timestamp,timestamp_sample,baro_device_id,baro_alt_meter,baro_pressure_pa,ambient_temperature,rho,publisher_id,temperature_source,calibration_count
1771685330820000,1771685330820000,1771685330796000,6620172,488.07465,95598.33,15.0,1.1555759,126,0,1
1771685330872000,1771685330872000,1771685330848000,6620172,488.13098,95597.7,15.0,1.1555684,126,0,1
1771685330924000,1771685330924000,1771685330900000,6620172,488.14038,95597.58,15.0,1.1555668,126,0,1
1771685330976000,1771685330976000,1771685330952000,6620172,488.16385,95597.305,15.0,1.1555635,126,0,1
1771685331028000,1771685331028000,1771685331004000,6620172,488.19202,95597.0,15.0,1.1555598,126,0,1
1771685331080000,1771685331080000,1771685331056000,6620172,488.20142,95596.91,15.0,1.1555587,126,0,1
1771685331132000,1771685331132000,1771685331108000,6620172,488.22958,95596.58,15.0,1.1555548,126,0,1
1771685331184000,1771685331184000,1771685331160000,6620172,488.28592,95595.914,15.0,1.1555467,126,0,1
1771685331236000,1771685331236000,1771685331212000,6620172,488.28592,95595.88,15.0,1.1555463,126,0,1
1771685331288000,1771685331288000,1771685331264000,6620172,488.34695,95595.22,15.0,1.1555383,126,0,1
1771685331340000,1771685331340000,1771685331316000,6620172,488.45493,95593.95,15.0,1.155523,126,0,1
1771685331392000,1771685331392000,1771685331368000,6620172,488.4972,95593.49,15.0,1.1555175,126,0,1
1771685331444000,1771685331444000,1771685331420000,6620172,488.53476,95593.04,15.0,1.155512,126,0,1
1771685331496000,1771685331496000,1771685331472000,6620172,488.57233,95592.64,15.0,1.1555071,126,0,1
1771685331548000,1771685331548000,1771685331524000,6620172,488.63803,95591.91,15.0,1.1554983,126,0,1
1771685331600000,1771685331600000,1771685331576000,6620172,488.685,95591.37,15.0,1.1554917,126,0,1
1771685331652000,1771685331652000,1771685331628000,6620172,488.74133,95590.68,15.0,1.1554835,126,0,1
1771685331704000,1771685331704000,1771685331680000,6620172,488.7695,95590.36,15.0,1.1554796,126,0,1
1771685331756000,1771685331756000,1771685331732000,6620172,488.8728,95589.22,15.0,1.1554657,126,0,1
1771685331808000,1771685331808000,1771685331784000,6620172,488.8728,95589.195,15.0,1.1554655,126,0,1
