timestamp,pub_timestamp,load,ram_usage,publisher_id
1771685419616000,1771685419616000,0.0,0.0,109
1771685420116000,1771685420116000,0.0,0.0,109
1771685420616000,1771685420616000,0.0,0.0,109
1771685421116000,1771685421116000,0.0,0.0,109
1771685421616000,1771685421616000,0.0,0.0,109
1771685422116000,1771685422116000,0.0,0.0,109
1771685422616000,1771685422616000,0.0,0.0,109
1771685423116000,1771685423116000,0.0,0.0,109
1771685423616000,1771685423616000,0.0,0.0,109
1771685424116000,1771685424116000,0.0,0.0,109
1771685424616000,1771685424616000,0.0,0.0,109
1771685425116000,1771685425116000,0.0,0.0,109
1771685425616000,1771685425616000,0.0,0.0,109
1771685426116000,1771685426116000,0.0,0.0,109
1771685426616000,1771685426616000,0.0,0.0,109
1771685427116000,1771685427116000,0.0,0.0,109
1771685427616000,1771685427616000,0.0,0.0,109
1771685428116000,1771685428116000,0.0,0.0,109
1771685428616000,1771685428616000,0.0,0.0,109
1771685429116000,1771685429116000,0.0,0.0,109
1771685429616000,1771685429616000,0.0,0.0,109
1771685430116000,1771685430116000,0.0,0.0,109
1771685430616000,1771685430616000,0.0,0.0,109
1771685431116000,1771685431116000,0.0,0.0,109
1771685431616000,1771685431616000,0.0,0.0,109
1771685432116000,1771685432116000,0.0,0.0,109
1771685432616000,1771685432616000,0.0,0.0,109
1771685433116000,1771685433116000,0.0,0.0,109
1771685433616000,1771685433616000,0.0,0.0,109
1771685434116000,1771685434116000,0.0,0.0,109
1771685434616000,1771685434616000,0.0,0.0,109
1771685435116000,1771685435116000,0.0,0.0,109
1771685435616000,1771685435616000,0.0,0.0,109
1771685436116000,1771685436116000,0.0,0.0,109
1771685436616000,1771685436616000,0.0,0.0,109
1771685437116000,1771685437116000,0.0,0.0,109
1771685437616000,1771685437616000,0.0,0.0,109
1771685438116000,1771685438116000,0.0,0.0,109
1771685438616000,1771685438616000,0.0,0.0,109
1771685439116000,1771685439116000,0.0,0.0,109
1771685439616000,1771685439616000,0.0,0.0,109
1771685440116000,1771685440116000,0.0,0.0,109
1771685440616000,1771685440616000,0.0,0.0,109
1771685441116000,1771685441116000,0.0,0.0,109
1771685441616000,1771685441616000,0.0,0.0,109
1771685442116000,1771685442116000,0.0,0.0,109
1771685442616000,1771685442616000,0.0,0.0,109
1771685443116000,1771685443116000,0.0,0.0,109
1771685443616000,1771685443616000,0.0,0.0,109
1771685444116000,1771685444116000,0.0,0.0,109
1771685444616000,1771685444616000,0.0,0.0,109
1771685445116000,1771685445116000,0.0,0.0,109
1771685445616000,1771685445616000,0.0,0.0,109
1771685446116000,1771685446116000,0.0,0.0,109
1771685446616000,1771685446616000,0.0,0.0,109
1771685447116000,1771685447116000,0.0,0.0,109
1771685447616000,1771685447616000,0.0,0.0,109
1771685448116000,1771685448116000,0.0,0.0,109
1771685448616000,1771685448616000,0.0,0.0,109
1771685449116000,1771685449116000,0.0,0.0,109
1771685449616000,1771685449616000,0.0,0.0,109
1771685450116000,1771685450116000,0.0,0.0,109
1771685450616000,1771685450616000,0.0,0.0,109
1771685451116000,1771685451116000,0.0,0.0,109
1771685451616000,1771685451616000,0.0,0.0,109
1771685452116000,1771685452116000,0.0,0.0,109
1771685452616000,1771685452616000,0.0,0.0,109
1771685453116000,1771685453116000,0.0,0.0,109
1771685453616000,1771685453616000,0.0,0.0,109
1771685454116000,1771685454116000,0.0,0.0,109
1771685454616000,1771685454616000,0.0,0.0,109
1771685455116000,1771685455116000,0.0,0.0,109
1771685455616000,1771685455616000,0.0,0.0,109
1771685456116000,1771685456116000,0.0,0.0,109
1771685456616000,1771685456616000,0.0,0.0,109
1771685457116000,1771685457116000,0.0,0.0,109
1771685457616000,1771685457616000,0.0,0.0,109
1771685458116000,1771685458116000,0.0,0.0,109
1771685458616000,1771685458616000,0.0,0.0,109
1771685459116000,1771685459116000,0.0,0.0,109
1771685459616000,1771685459616000,0.0,0.0,109
1771685460116000,1771685460116000,0.0,0.0,109
1771685460616000,1771685460616000,0.0,0.0,109
1771685461116000,1771685461116000,0.0,0.0,109
