timestamp,pub_timestamp,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],publisher_id
1771685327084000,1771685327084000,0.0,0.99999774,-0.0,0.0,-0.0021155511,0.0,0.0,-0.001,52
1771685327092000,1771685327092000,0.0,0.99999774,-0.0,0.0,-0.0021226467,0.0,0.0,-0.001,52
1771685327100000,1771685327100000,0.0,0.9999977,-0.0,0.0,-0.002137669,0.0,0.0,-0.001,52
1771685327108000,1771685327108000,0.0,0.9999977,-0.0,0.0,-0.0021399346,0.0,0.0,-0.001,52
1771685327116000,1771685327116000,0.0,0.99999774,-0.0,0.0,-0.0021133071,0.0,0.0,-0.001,52
1771685327124000,1771685327124000,0.0,0.99999785,-0.0,0.0,-0.0020653536,0.0,0.0,-0.001,52
1771685327132000,1771685327132000,0.0,0.99999785,-0.0,0.0,-0.0020723243,0.0,0.0,-0.001,52
1771685327140000,1771685327140000,0.0,0.9999978,-0.0,0.0,-0.0020847719,0.0,0.0,-0.001,52
1771685327148000,1771685327148000,0.0,0.99999785,-0.0,0.0,-0.0020521055,0.0,0.0,-0.001,52
1771685327156000,1771685327156000,0.0,0.99999785,-0.0,0.0,-0.0020497546,0.0,0.0,-0.001,52
1771685327164000,1771685327164000,0.0,0.9999978,-0.0,0.0,-0.0020880068,0.0,0.0,-0.001,52
1771685327172000,1771685327172000,0.0,0.9999979,-0.0,0.0,-0.002047979,0.0,0.0,-0.001,52
1771685327180000,1771685327180000,0.0,0.9999979,-0.0,0.0,-0.0020280788,0.0,0.0,-0.001,52
1771685327188000,1771685327188000,0.0,0.99999785,-0.0,0.0,-0.0020520533,0.0,0.0,-0.001,52
1771685327196000,1771685327196000,0.0,0.99999785,-0.0,0.0,-0.0020708195,0.0,0.0,-0.001,52
1771685327204000,1771685327204000,0.0,0.99999785,-0.0,0.0,-0.0020630856,0.0,0.0,-0.001,52
1771685327212000,1771685327212000,0.0,0.9999979,-0.0,0.0,-0.0020196156,0.0,0.0,-0.001,52
1771685327220000,1771685327220000,0.0,0.9999979,-0.0,0.0,-0.002036972,0.0,0.0,-0.001,52
1771685327228000,1771685327228000,0.0,0.9999979,-0.0,0.0,-0.002037846,0.0,0.0,-0.001,52
1771685327236000,1771685327236000,0.0,0.99999785,-0.0,0.0,-0.0020490445,0.0,0.0,-0.001,52
1771685327244000,1771685327244000,0.0,0.9999979,-0.0,0.0,-0.002022445,0.0,0.0,-0.001,52
1771685327252000,1771685327252000,0.0,0.999998,-0.0,0.0,-0.0019950897,0.0,0.0,-0.001,52
1771685327260000,1771685327260000,0.0,0.99999803,-0.0,0.0,-0.0019721384,0.0,0.0,-0.001,52
1771685327268000,1771685327268000,0.0,0.999998,-0.0,0.0,-0.002005074,0.0,0.0,-0.001,52
1771685327276000,1771685327276000,0.0,0.99999803,-0.0,0.0,-0.0019829436,0.0,0.0,-0.001,52
1771685327284000,1771685327284000,0.0,0.99999803,-0.0,0.0,-0.001967889,0.0,0.0,-0.001,52
1771685327292000,1771685327292000,0.0,0.9999981,-0.0,0.0,-0.0019556405,0.0,0.0,-0.001,52
1771685327300000,1771685327300000,0.0,0.9999981,-0.0,0.0,-0.0019505029,0.0,0.0,-0.001,52
1771685327308000,1771685327308000,0.0,0.99999803,-0.0,0.0,-0.0019875616,0.0,0.0,-0.001,52
1771685327316000,1771685327316000,0.0,0.999998,-0.0,0.0,-0.0020146454,0.0,0.0,-0.001,52
1771685327324000,1771685327324000,0.0,0.9999979,-0.0,0.0,-0.002028476,0.0,0.0,-0.001,52
1771685327332000,1771685327332000,0.0,0.99999785,-0.0,0.0,-0.0020488144,0.0,0.0,-0.001,52
1771685327340000,1771685327340000,0.0,0.9999979,-0.0,0.0,-0.002041083,0.0,0.0,-0.001,52
1771685327348000,1771685327348000,0.0,0.99999785,-0.0,0.0,-0.0020627314,0.0,0.0,-0.001,52
1771685327356000,1771685327356000,0.0,0.99999774,-0.0,0.0,-0.0021143486,0.0,0.0,-0.001,52
1771685327364000,1771685327364000,0.0,0.99999774,-0.0,0.0,-0.002120338,0.0,0.0,-0.001,52
1771685327372000,1771685327372000,0.0,0.99999774,-0.0,0.0,-0.0021172613,0.0,0.0,-0.001,52
1771685327380000,1771685327380000,0.0,0.99999774,-0.0,0.0,-0.002118484,0.0,0.0,-0.001,52
1771685327388000,1771685327388000,0.0,0.99999774,-0.0,0.0,-0.002117188,0.0,0.0,-0.001,52
1771685327396000,1771685327396000,0.0,0.99999774,-0.0,0.0,-0.002112912,0.0,0.0,-0.001,52
1771685327404000,1771685327404000,0.0,0.9999978,-0.0,0.0,-0.0020969084,0.0,0.0,-0.001,52
1771685327412000,1771685327412000,0.0,0.9999978,-0.0,0.0,-0.0020970164,0.0,0.0,-0.001,52
1771685327420000,1771685327420000,0.0,0.99999774,-0.0,0.0,-0.0021110468,0.0,0.0,-0.001,52
1771685327428000,1771685327428000,0.0,0.9999923,0.000720475,-0.0032323627,-0.0020945475,0.0,0.0,-0.0010000002,52
1771685327436000,1771685327436000,0.0,0.9999923,0.0006027,-0.0032609522,-0.00209491,0.0,0.0,-0.0028464228,52
1771685327444000,1771685327444000,0.0,0.99999416,-0.0026744008,1.1754682e-05,-0.0020968847,0.0,0.0,-0.0038773674,52
1771685327452000,1771685327452000,0.0,0.9999942,-0.002673692,6.266219e-05,-0.002096749,0.0,0.0,-0.0049260966,52
1771685327460000,1771685327460000,0.0,0.99999416,-0.0026966154,5.9215017e-06,-0.0020969003,0.0,0.0,-0.0058882497,52
1771685327468000,1771685327468000,0.0,0.99999386,-0.002793519,-6.676886e-05,-0.002097103,0.0,0.0,-0.006849217,52
1771685327476000,1771685327476000,0.0,0.99999386,-0.0027990025,-0.00018275433,-0.0020974283,0.0,0.0,-0.007905429,52
1771685327484000,1771685327484000,0.0,0.99999404,-0.0027380707,-0.00020726066,-0.0020974837,0.0,0.0,-0.008943246,52
1771685327492000,1771685327492000,0.0,0.99999446,-0.002574397,-0.0002195425,-0.0020974802,0.0,0.0,-0.009986593,52
1771685327500000,1771685327500000,0.0,0.99999464,-0.0024923934,-0.0002761566,-0.0020976032,0.0,0.0,-0.011037697,52
1771685327508000,1771685327508000,0.0,0.9999946,-0.0025259824,-0.00029413236,-0.0020976579,0.0,0.0,-0.012083925,52
1771685327516000,1771685327516000,0.0,0.9999943,-0.0026307106,-0.00028793834,-0.0020976732,0.0,0.0,-0.013193703,52
1771685327524000,1771685327524000,0.0,0.9999941,-0.0027060052,-0.00019674197,-0.0020974486,0.0,0.0,-0.014330926,52
1771685327532000,1771685327532000,0.0,0.9999944,-0.0025891485,-0.00024786545,-0.0020975573,0.0,0.0,-0.015415132,52
1771685327540000,1771685327540000,0.0,0.9999946,-0.0025085318,-0.0004175793,-0.002097962,0.0,0.0,-0.016517315,52
1771685327548000,1771685327548000,0.0,0.99999464,-0.0024929186,-0.00036503535,-0.0020978246,0.0,0.0,-0.017668352,52
1771685327556000,1771685327556000,0.0,0.9999949,-0.0024044805,-0.00038618164,-0.0020978427,0.0,0.0,-0.018857226,52
1771685327564000,1771685327564000,0.0,0.9999949,-0.002367408,-0.00038370176,-0.0020978223,0.0,0.0,-0.020080708,52
1771685327572000,1771685327572000,0.0,0.9999947,-0.00247538,-0.00031808522,-0.0020977021,0.0,0.0,-0.021252867,52
1771685327580000,1771685327580000,0.0,0.99999446,-0.0025274477,-0.00044533197,-0.00209804,0.0,0.0,-0.02246773,52
1771685327588000,1771685327588000,0.0,0.9999941,-0.0026858347,-0.00042102937,-0.0020980465,0.0,0.0,-0.023618482,52
1771685327596000,1771685327596000,0.0,0.9999941,-0.00268159,-0.00044726976,-0.002098115,0.0,0.0,-0.024835506,52
1771685327604000,1771685327604000,0.0,0.9999939,-0.002739686,-0.0004614327,-0.0020981797,0.0,0.0,-0.026009515,52
1771685327612000,1771685327612000,0.0,0.9999939,-0.002741991,-0.00044753347,-0.0020981429,0.0,0.0,-0.027188124,52
1771685327620000,1771685327620000,0.0,0.9999939,-0.0027599442,-0.00040138658,-0.0020980237,0.0,0.0,-0.028418506,52
1771685327628000,1771685327628000,0.0,0.99999386,-0.002775717,-0.00032187215,-0.0020978095,0.0,0.0,-0.029707419,52
1771685327636000,1771685327636000,0.0,0.9999935,-0.0029181258,-0.00026002328,-0.002097676,0.0,0.0,-0.03098088,52
1771685327644000,1771685327644000,0.0,0.9999932,-0.0030138502,-0.00025694718,-0.002097692,0.0,0.0,-0.032273136,52
1771685327652000,1771685327652000,0.0,0.9999936,-0.0028803372,-0.00021978801,-0.00209755,0.0,0.0,-0.033509366,52
1771685327660000,1771685327660000,0.0,0.99999386,-0.0028031257,-0.00020025525,-0.0020974781,0.0,0.0,-0.03481175,52
1771685327668000,1771685327668000,0.0,0.9999937,-0.002864825,-0.00021913553,-0.0020975447,0.0,0.0,-0.036123276,52
1771685327676000,1771685327676000,0.0,0.99999326,-0.002980321,-0.00034349182,-0.002097941,0.0,0.0,-0.03746896,52
1771685327684000,1771685327684000,0.0,0.9999934,-0.0029511887,-0.00041421992,-0.0020981398,0.0,0.0,-0.038843665,52
1771685327692000,1771685327692000,0.0,0.9999935,-0.0028828438,-0.00046116603,-0.002098246,0.0,0.0,-0.04013142,52
1771685327700000,1771685327700000,0.0,0.9999938,-0.0027933647,-0.00046253364,-0.0020982083,0.0,0.0,-0.04150123,52
1771685327708000,1771685327708000,0.0,0.99999386,-0.0027599507,-0.000436901,-0.002098122,0.0,0.0,-0.042792004,52
1771685327716000,1771685327716000,0.0,0.9999936,-0.0028499614,-0.00040344006,-0.0020980665,0.0,0.0,-0.044089332,52
1771685327724000,1771685327724000,0.0,0.9999941,-0.002680948,-0.0004167636,-0.002098033,0.0,0.0,-0.04543389,52
1771685327732000,1771685327732000,0.0,0.99999404,-0.0027013712,-0.00039137588,-0.0020979731,0.0,0.0,-0.0468478,52
1771685327740000,1771685327740000,0.0,0.999994,-0.0027424954,-0.00027984034,-0.0020976835,0.0,0.0,-0.04824804,52
