timestamp,pub_timestamp,publisher_id,freefall,ground_contact,maybe_landed,landed,in_ground_effect,in_descend,has_low_throttle,vertical_movement,horizontal_movement,rotational_movement,close_to_ground_or_skipped_check,at_rest
1771685027452000,1771685027452000,60,0,0,0,0,0,0,0,0,0,1,1,0
1771685028452000,1771685028452000,60,0,0,0,0,0,0,0,0,1,0,1,0
1771685029452000,1771685029452000,60,0,0,0,0,0,0,0,0,1,0,1,0
1771685030452000,1771685030452000,60,0,0,0,0,0,0,0,0,1,0,1,0
1771685031452000,1771685031452000,60,0,0,0,0,0,0,0,0,1,0,1,0
1771685032452000,1771685032452000,60,0,0,0,0,0,0,0,0,1,0,1,0
1771685033452000,1771685033452000,60,0,0,0,0,0,0,0,0,1,0,1,0
1771685034452000,1771685034452000,60,0,0,0,0,0,0,0,0,1,0,1,0
1771685035452000,1771685035452000,60,0,0,0,0,0,0,0,0,1,0,1,0
1771685036452000,1771685036452000,60,0,0,0,0,0,0,0,0,1,0,1,0
1771685037452000,1771685037452000,60,0,0,0,0,0,0,0,0,1,0,1,0
1771685038452000,1771685038452000,60,0,0,0,0,0,0,0,0,1,0,1,0
1771685039452000,1771685039452000,60,0,0,0,0,0,0,0,0,1,0,1,0
1771685040452000,1771685040452000,60,0,0,0,0,0,0,0,0,1,0,1,0
1771685041452000,1771685041452000,60,0,0,0,0,0,0,0,0,1,0,1,0
1771685042452000,1771685042452000,60,0,0,0,0,0,0,0,0,1,0,1,0
1771685043452000,1771685043452000,60,0,0,0,0,0,0,0,0,1,0,1,0
1771685044452000,1771685044452000,60,0,0,0,0,0,0,0,0,1,0,1,0
1771685045452000,1771685045452000,60,0,0,0,0,0,0,0,0,1,0,1,0
1771685046452000,1771685046452000,60,0,0,0,0,0,0,0,0,1,0,1,0
1771685047452000,1771685047452000,60,0,0,0,0,0,0,0,0,1,0,1,0
1771685048452000,1771685048452000,60,0,0,0,0,0,0,0,0,1,0,1,0
1771685049452000,1771685049452000,60,0,0,0,0,0,0,0,0,1,0,1,0
