timestamp,pub_timestamp,timestamp_sample,position[0],position[1],position[2],q[0],q[1],q[2],q[3],velocity[0],velocity[1],velocity[2],angular_velocity[0],angular_velocity[1],angular_velocity[2],position_variance[0],position_variance[1],position_variance[2],orientation_variance[0],orientation_variance[1],orientation_variance[2],velocity_variance[0],velocity_variance[1],velocity_variance[2],publisher_id,pose_frame,velocity_frame,reset_counter,quality
1771684925012000,1771684925012000,1771684925012000,-0.010090929,0.0021811423,0.011325214,0.9999793,3.2001437e-05,0.0002660459,0.0064154053,-0.010207645,-8.571949e-05,0.009546293,-0.0021681015,-0.014097436,-0.0077717653,6.715885e-05,6.7135545e-05,0.16615076,0.00035708,0.00035441405,0.037235793,0.0007466189,0.00074434176,0.005949398,160,1,1,7,0
1771684925020000,1771684925020000,1771684925020000,-0.010032724,0.0021651802,0.011346872,0.9999796,4.445658e-05,0.00021751705,0.0063727405,-0.009694579,2.458981e-05,0.009500201,0.0030479527,-0.010503186,-0.010246614,6.973215e-05,6.9706184e-05,0.16625687,0.0003570609,0.00035441533,0.03716089,0.0007656618,0.00076320977,0.0059822854,160,1,1,7,0
1771684925028000,1771684925028000,1771684925028000,-0.009972023,0.002150529,0.011370394,0.99997944,2.0571473e-05,0.00019659573,0.0064008893,-0.009207109,0.00023936752,0.009666238,-0.0060066707,-0.00357897,0.006799977,7.2422816e-05,7.239318e-05,0.16636398,0.00035712146,0.00035441396,0.0371609,0.000785104,0.0007824883,0.006015257,160,1,1,7,0
1771684925036000,1771684925036000,1771684925036000,-0.009910352,0.002136397,0.01140284,0.9999793,1.3036019e-05,0.00020522944,0.0064090127,-0.009048899,6.424995e-05,0.009575488,-0.0018787588,0.003744794,0.0017399741,7.5230935e-05,7.519722e-05,0.16424012,0.00035710243,0.00035441483,0.037160996,0.0008047288,0.000802041,0.0060445927,160,1,1,7,0
1771684925044000,1771684925044000,1771684925044000,-0.009849146,0.002120086,0.011436345,0.9999793,3.8193084e-06,0.00022734591,0.0064237155,-0.008929975,-0.00029384872,0.009691998,-0.0022781983,0.0070737437,0.0033379316,7.8159785e-05,7.812156e-05,0.16434777,0.00035711835,0.0003544175,0.037161052,0.00082465244,0.0008218342,0.006077718,160,1,1,7,0
1771684925052000,1771684925052000,1771684925052000,-0.009787498,0.0021018505,0.011473291,0.99997926,4.1368436e-05,0.00018547307,0.0064305672,-0.00850824,-0.00032308255,0.010197535,0.009306567,-0.0090383515,0.0013405547,8.121271e-05,8.116952e-05,0.1644564,0.00035713695,0.00035441905,0.037161116,0.000844818,0.00084187,0.006110928,160,1,1,7,0
1771684925060000,1771684925060000,1771684925060000,-0.009724596,0.0020847588,0.011513451,0.99997956,4.565755e-05,0.00018190459,0.00638539,-0.008238509,-0.00016424831,0.01009626,0.0010508457,0.0005490886,-0.011708936,8.4393076e-05,8.434445e-05,0.16456604,0.00035716657,0.00035441987,0.03716117,0.0008653042,0.0008622234,0.0061442237,160,1,1,7,0
1771684925068000,1771684925068000,1771684925068000,-0.00966146,0.0020680246,0.011552214,0.99997973,5.3687654e-05,0.00017904922,0.006351023,-0.008128448,-0.00021751609,0.009795135,0.0019827948,0.0006820526,-0.009045802,8.7704444e-05,8.764987e-05,0.1646767,0.0003571805,0.0003544226,0.037161235,0.0008860477,0.0008827898,0.006177606,160,1,1,7,0
1771684925076000,1771684925076000,1771684925076000,-0.009600334,0.0020517842,0.011591334,0.99997973,8.56134e-05,0.00019299878,0.006367961,-0.008317908,-2.0350126e-05,0.009840096,0.007974947,0.0048099873,0.003737484,9.115027e-05,9.1089205e-05,0.16478838,0.0003571382,0.00035442607,0.03716136,0.00090699986,0.00090365193,0.0062110713,160,1,1,7,0
1771684925084000,1771684925084000,1771684925084000,-0.00954164,0.002036555,0.011626697,0.9999795,8.1928745e-05,0.00019516452,0.0063930433,-0.008323426,-1.15999355e-05,0.009933775,-0.00094659696,0.001880544,0.0057347687,9.47341e-05,9.4666015e-05,0.16271077,0.00035709547,0.00035443163,0.03716149,0.0009282522,0.0009247079,0.0062405835,160,1,1,7,0
