timestamp,pub_timestamp,control_power[0],control_power[1],control_power[2],publisher_id
1771684969768000,1771684969768000,5.461381e-06,6.3160232e-06,2.3668036e-07,39
1771684970268000,1771684970268000,5.9111812e-06,7.2632615e-06,1.6911294e-07,39
1771684970768000,1771684970768000,3.0053254e-06,9.718519e-06,6.465709e-08,39
1771684971268000,1771684971268000,2.0744246e-05,1.608537e-05,1.00921625e-05,39
1771684971768000,1771684971768000,3.4804558e-05,2.0758578e-05,0.00042488734,39
1771684972268000,1771684972268000,0.00013069628,1.0230504e-05,0.0006996086,39
1771684972768000,1771684972768000,4.6977337e-05,1.2863213e-05,0.00026137233,39
1771684973268000,1771684973268000,4.2931784e-05,2.3355284e-05,0.00015694731,39
1771684973768000,1771684973768000,6.175939e-05,1.1893125e-05,0.00025161266,39
1771684974268000,1771684974268000,9.9991696e-05,1.6241456e-05,0.00096701016,39
1771684974768000,1771684974768000,6.7195746e-05,2.1968046e-05,0.00077004486,39
1771684975268000,1771684975268000,1.3974352e-05,1.5881657e-05,0.0001462992,39
1771684975768000,1771684975768000,1.9839266e-05,2.6229865e-05,0.00027266375,39
1771684976268000,1771684976268000,1.6720584e-05,1.9750758e-05,0.00023495889,39
1771684976768000,1771684976768000,1.0765577e-05,2.0123513e-05,5.9816284e-05,39
1771684977268000,1771684977268000,7.4682516e-06,1.8461187e-05,2.1143756e-05,39
1771684977768000,1771684977768000,8.770216e-06,1.5944488e-05,7.3762603e-06,39
1771684978268000,1771684978268000,6.382194e-06,1.5482694e-05,8.593258e-07,39
1771684978768000,1771684978768000,6.914739e-06,2.2110105e-05,5.0088215e-07,39
1771684979268000,1771684979268000,5.0977164e-06,1.6164258e-05,1.0519372e-07,39
1771684979768000,1771684979768000,4.329441e-06,2.0766762e-05,1.09724134e-07,39
1771684980268000,1771684980268000,7.803131e-06,1.795296e-05,2.4437293e-07,39
1771684980768000,1771684980768000,6.9358757e-06,2.3148983e-05,1.8400948e-07,39
1771684981268000,1771684981268000,6.9387643e-06,1.8057615e-05,3.0444144e-07,39
1771684981768000,1771684981768000,5.4697225e-06,2.3362583e-05,2.0318149e-07,39
1771684982268000,1771684982268000,3.9860206e-06,1.793264e-05,9.364065e-08,39
1771684982768000,1771684982768000,7.18173e-06,2.0946893e-05,1.5698309e-07,39
1771684983268000,1771684983268000,5.7755897e-06,2.8171611e-05,1.7742681e-07,39
1771684983768000,1771684983768000,4.9210767e-06,1.9146035e-05,8.9479805e-08,39
1771684984268000,1771684984268000,4.300603e-06,2.2347831e-05,2.5671412e-07,39
1771684984768000,1771684984768000,7.016905e-06,2.6324253e-05,8.359853e-08,39
1771684985268000,1771684985268000,9.6238755e-06,1.4162826e-05,2.6123583e-08,39
1771684985768000,1771684985768000,4.0918194e-06,1.5262522e-05,1.328093e-07,39
1771684986268000,1771684986268000,7.0848873e-06,1.9627605e-05,1.954306e-07,39
1771684986768000,1771684986768000,7.3648084e-06,2.9011555e-05,4.1913032e-07,39
1771684987268000,1771684987268000,6.431217e-06,2.6601403e-05,1.6044636e-07,39
1771684987768000,1771684987768000,8.9337145e-06,1.6481064e-05,7.39766e-08,39
1771684988268000,1771684988268000,5.967893e-06,1.8039287e-05,1.650119e-07,39
1771684988768000,1771684988768000,7.1447366e-06,1.49118905e-05,1.4371781e-07,39
1771684989268000,1771684989268000,5.384252e-06,2.1501895e-05,1.1047571e-07,39
1771684989768000,1771684989768000,5.1130964e-06,2.0613646e-05,3.1168483e-07,39
1771684990268000,1771684990268000,7.1211134e-06,1.7447315e-05,8.253517e-08,39
1771684990768000,1771684990768000,3.3685474e-06,2.249893e-05,2.5044847e-07,39
1771684991268000,1771684991268000,3.9196534e-06,2.4009141e-05,2.0240249e-07,39
1771684991768000,1771684991768000,4.4306903e-06,2.506781e-05,3.087034e-08,39
1771684992268000,1771684992268000,3.2994387e-06,2.1667422e-05,5.0519765e-07,39
1771684992768000,1771684992768000,4.4969856e-06,2.2969494e-05,2.107831e-07,39
1771684993268000,1771684993268000,6.6424655e-06,1.6304337e-05,3.383346e-07,39
1771684993768000,1771684993768000,4.4646595e-06,2.1135682e-05,1.0909963e-07,39
1771684994268000,1771684994268000,5.819216e-06,2.0530668e-05,1.4526641e-07,39
1771684994768000,1771684994768000,4.361219e-06,2.1455375e-05,2.5849107e-07,39
1771684995268000,1771684995268000,3.6905617e-06,1.8062865e-05,7.999531e-08,39
1771684995768000,1771684995768000,7.747616e-06,1.629547e-05,7.4008234e-08,39
1771684996268000,1771684996268000,4.2414413e-06,1.6812646e-05,6.833798e-08,39
1771684996768000,1771684996768000,5.7634047e-06,1.8708297e-05,1.7555801e-07,39
1771684997268000,1771684997268000,4.6357827e-06,1.4590167e-05,1.6836694e-07,39
1771684997768000,1771684997768000,3.494426e-06,1.4176989e-05,4.5171828e-07,39
1771684998268000,1771684998268000,5.641194e-06,1.907233e-05,3.77496e-07,39
1771684998768000,1771684998768000,4.8681277e-06,2.1815436e-05,1.5903035e-07,39
1771684999268000,1771684999268000,3.2482608e-06,1.8368306e-05,9.066112e-08,39
1771684999768000,1771684999768000,5.9513645e-06,2.0568954e-05,1.0899632e-07,39
1771685000268000,1771685000268000,7.1559916e-06,2.2386872e-05,1.8393058e-07,39
1771685000768000,1771685000768000,3.6563338e-06,2.2141821e-05,2.3094192e-07,39
1771685001268000,1771685001268000,5.336897e-06,2.7868282e-05,9.0889806e-08,39
1771685001768000,1771685001768000,7.1721724e-06,2.3283406e-05,1.5387176e-06,39
1771685002268000,1771685002268000,5.250195e-06,8.608015e-06,4.5246617e-07,39
1771685002768000,1771685002768000,4.8449165e-06,2.2135897e-05,3.1914817e-07,39
1771685003268000,1771685003268000,9.899524e-06,1.09431585e-05,2.2550757e-06,39
1771685003768000,1771685003768000,8.303035e-06,1.8601633e-05,7.2725406e-06,39
1771685004268000,1771685004268000,2.475727e-05,1.1376255e-05,0.00029827244,39
1771685004768000,1771685004768000,0.00019129392,2.0350684e-05,0.0006387309,39
1771685005268000,1771685005268000,6.911292e-05,2.5872425e-05,0.00050160976,39
1771685005768000,1771685005768000,5.983365e-05,2.0512007e-05,0.000120681696,39
1771685006268000,1771685006268000,7.782809e-05,2.2028247e-05,0.00026862632,39
1771685006768000,1771685006768000,3.9115122e-05,2.2311973e-05,0.0009766925,39
1771685007268000,1771685007268000,9.537123e-05,1.5401223e-05,0.00086572004,39
1771685007768000,1771685007768000,1.5163843e-05,2.5736248e-05,9.2650414e-05,39
1771685008268000,1771685008268000,2.8874289e-05,1.6064929e-05,0.00035454935,39
1771685008768000,1771685008768000,1.5316607e-05,2.224045e-05,0.00018129332,39
1771685009268000,1771685009268000,1.8041537e-05,2.6850092e-05,9.547535e-05,39
1771685009768000,1771685009768000,5.6489043e-06,1.9827294e-05,1.0910962e-05,39
1771685010268000,1771685010268000,4.855265e-06,2.1940277e-05,7.494987e-06,39
1771685010768000,1771685010768000,7.770867e-06,2.1092705e-05,5.771755e-07,39
1771685011268000,1771685011268000,5.937394e-06,2.6116484e-05,4.7275344e-07,39
1771685011768000,1771685011768000,5.124241e-06,1.7045964e-05,2.0229152e-07,39
1771685012268000,1771685012268000,5.8781725e-06,1.5676658e-05,3.2100513e-07,39
1771685012768000,1771685012768000,5.1676525e-06,2.4022824e-05,7.2089094e-08,39
1771685013268000,1771685013268000,6.2535646e-06,1.7628898e-05,1.4117592e-07,39
1771685013768000,1771685013768000,7.039611e-06,1.301159e-05,9.566831e-08,39
1771685014268000,1771685014268000,6.8651284e-06,1.6895186e-05,1.1340932e-07,39
1771685014768000,1771685014768000,3.5221794e-06,1.520347e-05,4.270031e-08,39
1771685015268000,1771685015268000,6.120306e-06,1.6186548e-05,2.5796194e-07,39
1771685015768000,1771685015768000,5.972632e-06,1.4516619e-05,3.094787e-07,39
1771685016268000,1771685016268000,4.116248e-06,1.4998331e-05,4.493587e-08,39
1771685016768000,1771685016768000,5.8767696e-06,1.5634794e-05,2.3978703e-07,39
1771685017268000,1771685017268000,5.4586817e-06,1.964258e-05,2.4597688e-07,39
1771685017768000,1771685017768000,6.8951213e-06,1.8585242e-05,1.6122715e-07,39
1771685018268000,1771685018268000,4.407424e-06,2.5048068e-05,1.0540236e-07,39
1771685018768000,1771685018768000,9.511597e-06,1.961792e-05,5.282985e-08,39
1771685019268000,1771685019268000,5.939943e-06,1.8210123e-05,8.622265e-08,39
1771685019768000,1771685019768000,3.686511e-06,2.0364181e-05,3.2388817e-07,39
1771685020268000,1771685020268000,8.2203405e-06,1.68178e-05,1.4704682e-07,39
1771685020768000,1771685020768000,6.043462e-06,1.8589662e-05,1.668989e-07,39
1771685021268000,1771685021268000,6.853017e-06,2.325967e-05,2.2501919e-07,39
1771685021768000,1771685021768000,5.1829984e-06,2.1078324e-05,1.460356e-07,39
1771685022268000,1771685022268000,7.4900036e-06,2.1434273e-05,3.9644897e-07,39
1771685022768000,1771685022768000,5.4771053e-06,1.42285735e-05,4.1347573e-07,39
1771685023268000,1771685023268000,4.8415636e-06,3.0084118e-05,2.5470132e-07,39
1771685023768000,1771685023768000,4.435812e-06,2.3862316e-05,1.0603733e-07,39
1771685024268000,1771685024268000,5.5863397e-06,1.21954e-05,4.743026e-07,39
1771685024768000,1771685024768000,9.3866465e-06,6.2166096e-06,3.1534975e-07,39
1771685025268000,1771685025268000,5.344701e-06,9.522189e-06,3.8020576e-07,39
1771685025768000,1771685025768000,1.0553568e-05,9.237112e-06,5.5049068e-06,39
1771685026268000,1771685026268000,1.3199296e-05,2.844075e-05,1.35456285e-05,39
1771685026768000,1771685026768000,4.638156e-05,5.6032775e-05,0.00062435196,39
1771685027268000,1771685027268000,1.611843e-05,1.7540528e-05,0.0005320008,39
1771685027768000,1771685027768000,0.00013813513,2.5062764e-05,0.000599418,39
1771685028268000,1771685028268000,6.739659e-05,1.1032947e-05,0.0003214185,39
1771685028768000,1771685028768000,1.4236818e-05,2.0003015e-05,8.824999e-05,39
1771685029268000,1771685029268000,0.00010271651,1.6109692e-05,0.0008412716,39
1771685029768000,1771685029768000,4.822583e-05,3.2450374e-05,0.00029048437,39
1771685030268000,1771685030268000,2.0830363e-05,1.8062326e-05,0.00027940053,39
1771685030768000,1771685030768000,1.7729566e-05,1.906448e-05,0.00029128522,39
1771685031268000,1771685031268000,1.0530751e-05,2.1705388e-05,0.00010956615,39
1771685031768000,1771685031768000,1.2878914e-05,1.8113084e-05,7.600768e-05,39
1771685032268000,1771685032268000,6.2294444e-06,2.211709e-05,7.670658e-06,39
1771685032768000,1771685032768000,6.7031306e-06,1.7400129e-05,6.575904e-06,39
1771685033268000,1771685033268000,4.7113535e-06,2.1077318e-05,4.034723e-07,39
1771685033768000,1771685033768000,6.863585e-06,2.2075954e-05,1.1978708e-06,39
1771685034268000,1771685034268000,3.3316778e-06,2.0329515e-05,2.0617964e-07,39
1771685034768000,1771685034768000,5.260684e-06,3.2403354e-05,3.6071415e-07,39
1771685035268000,1771685035268000,6.359144e-06,2.1768494e-05,5.455955e-08,39
1771685035768000,1771685035768000,4.1218964e-06,2.3827106e-05,1.7702968e-07,39
1771685036268000,1771685036268000,3.8628746e-06,1.8724513e-05,3.5068845e-07,39
1771685036768000,1771685036768000,5.360865e-06,2.1431826e-05,3.8056743e-07,39
1771685037268000,1771685037268000,4.4756944e-06,1.6132377e-05,6.108921e-08,39
1771685037768000,1771685037768000,3.5298078e-06,2.022331e-05,9.51319e-08,39
1771685038268000,1771685038268000,4.610219e-06,2.5744224e-05,8.5410214e-08,39
1771685038768000,1771685038768000,5.5544047e-06,2.3857414e-05,1.1544299e-07,39
1771685039268000,1771685039268000,3.6306044e-06,1.8490657e-05,1.9852097e-07,39
1771685039768000,1771685039768000,6.2210916e-06,1.6144655e-05,1.6542596e-07,39
1771685040268000,1771685040268000,5.5061496e-06,1.9702311e-05,1.5604819e-07,39
1771685040768000,1771685040768000,5.273417e-06,2.3990917e-05,9.6992004e-08,39
1771685041268000,1771685041268000,3.8916573e-06,2.0624871e-05,2.581627e-07,39
1771685041768000,1771685041768000,7.922933e-06,1.9430621e-05,2.2845369e-07,39
1771685042268000,1771685042268000,5.791323e-06,1.7749828e-05,1.0497016e-07,39
1771685042768000,1771685042768000,6.1288824e-06,1.6195923e-05,7.922493e-08,39
1771685043268000,1771685043268000,4.5870634e-06,2.056647e-05,7.8905984e-08,39
1771685043768000,1771685043768000,5.995751e-06,1.8668301e-05,1.5773699e-07,39
1771685044268000,1771685044268000,6.142242e-06,1.4539239e-05,5.206254e-07,39
1771685044768000,1771685044768000,7.087243e-06,2.6139902e-05,3.7407125e-07,39
1771685045268000,1771685045268000,4.59484e-06,1.508886e-05,1.6402211e-07,39
1771685045768000,1771685045768000,6.8624327e-06,1.7472006e-05,1.3187937e-07,39
1771685046268000,1771685046268000,6.6582893e-06,2.1378766e-05,2.564983e-07,39
