timestamp,pub_timestamp,roll,pitch,yaw,thrust_body[0],thrust_body[1],thrust_body[2],publisher_id,reset_integral
1771684925228000,1771684925228000,-0.0016643724,-0.001913592,-2.0059757e-05,0.0,0.0,-0.001,53,0
1771684925232000,1771684925232000,-0.0015337765,-0.0019354578,-3.3007003e-05,0.0,0.0,-0.001,53,0
1771684925236000,1771684925236000,-0.0014159628,-0.0019061939,-6.9280155e-05,0.0,0.0,-0.001,53,0
1771684925240000,1771684925240000,-0.0013450324,-0.0018603874,-7.162057e-05,0.0,0.0,-0.001,53,0
1771684925244000,1771684925244000,-0.0012357386,-0.0018785059,-0.00013751071,0.0,0.0,-0.001,53,0
1771684925248000,1771684925248000,-0.001194576,-0.0019440174,-4.1592866e-05,0.0,0.0,-0.001,53,0
1771684925252000,1771684925252000,-0.0013195737,-0.002018066,-7.739011e-05,0.0,0.0,-0.001,53,0
1771684925256000,1771684925256000,-0.0014871606,-0.0020499777,-5.587004e-06,0.0,0.0,-0.001,53,0
1771684925260000,1771684925260000,-0.0016291628,-0.0019924196,5.410984e-07,0.0,0.0,-0.001,53,0
1771684925264000,1771684925264000,-0.0017115248,-0.0019311055,5.5413693e-07,0.0,0.0,-0.001,53,0
1771684925268000,1771684925268000,-0.0017640438,-0.0018357183,3.066007e-05,0.0,0.0,-0.001,53,0
1771684925272000,1771684925272000,-0.0018293685,-0.0016938687,3.0523166e-05,0.0,0.0,-0.001,53,0
1771684925276000,1771684925276000,-0.0018393457,-0.0016457132,-2.575107e-05,0.0,0.0,-0.001,53,0
1771684925280000,1771684925280000,-0.0018577832,-0.0017129958,-0.00011247676,0.0,0.0,-0.001,53,0
1771684925284000,1771684925284000,-0.0019145632,-0.0017930707,-0.000213271,0.0,0.0,-0.001,53,0
1771684925288000,1771684925288000,-0.0019627805,-0.0018267261,-5.2571297e-05,0.0,0.0,-0.001,53,0
1771684925292000,1771684925292000,-0.0019342315,-0.001860454,-2.7895905e-05,0.0,0.0,-0.001,53,0
1771684925296000,1771684925296000,-0.0018333155,-0.00187336,1.1819415e-05,0.0,0.0,-0.001,53,0
1771684925300000,1771684925300000,-0.0018773306,-0.0018776895,-8.701254e-05,0.0,0.0,-0.001,53,0
1771684925304000,1771684925304000,-0.0019810486,-0.0019165885,-8.945074e-05,0.0,0.0,-0.001,53,0
1771684925308000,1771684925308000,-0.0020037233,-0.0019598338,-4.798174e-05,0.0,0.0,-0.001,53,0
