timestamp,pub_timestamp,timestamp_sample,gyro_device_id,gyro_bias[0],gyro_bias[1],gyro_bias[2],gyro_bias_limit,gyro_bias_variance[0],gyro_bias_variance[1],gyro_bias_variance[2],accel_device_id,accel_bias[0],accel_bias[1],accel_bias[2],accel_bias_limit,accel_bias_variance[0],accel_bias_variance[1],accel_bias_variance[2],mag_device_id,mag_bias[0],mag_bias[1],mag_bias[2],mag_bias_limit,mag_bias_variance[0],mag_bias_variance[1],mag_bias_variance[2],publisher_id,gyro_bias_valid,gyro_bias_stable,accel_bias_valid,accel_bias_stable,mag_bias_valid,mag_bias_stable
1771684942428000,1771684942428000,1771684942276000,1310988,-3.9498413e-05,-0.00032806996,-0.00015280626,0.15,1.9104893e-07,1.8912843e-07,2.2984573e-06,1310988,0.0008667639,-0.0030804325,0.00079863775,0.4,0.02725191,0.027345717,5.2723313e-05,197388,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,160,1,0,1,0,1,0
1771684942500000,1771684942500000,1771684942348000,1310988,-3.794366e-05,-0.0003291469,-0.00015272257,0.15,1.9089546e-07,1.8897683e-07,2.2989427e-06,1310988,0.00028022355,-0.0032472461,0.0007987954,0.4,0.027207434,0.027190113,5.258201e-05,197388,-0.00326627,3.2109525e-05,-2.6780783e-05,0.5,0.001431281,0.0018272804,0.001429712,160,1,0,1,0,1,0
1771684942564000,1771684942564000,1771684942412000,1310988,-3.6430672e-05,-0.00032881944,-0.00015209011,0.15,1.906883e-07,1.8877817e-07,2.2993781e-06,1310988,0.00053025567,-0.0034827027,0.00080615934,0.4,0.027186679,0.027154412,5.2438736e-05,197388,-0.0019574515,4.5858862e-05,-0.0002894614,0.5,0.0011406671,0.001720522,0.0011382005,160,1,0,1,0,1,0
1771684942796000,1771684942796000,1771684942644000,1310988,-2.7991986e-05,-0.00032932128,-0.00014949159,0.15,1.8898542e-07,1.8712838e-07,2.3009018e-06,1310988,0.0006276985,-0.0046011475,0.0008217045,0.4,0.02713593,0.027091026,5.1742707e-05,197388,-0.0011901348,-0.00025595294,-0.00045219722,0.5,0.00087546324,0.0016399759,0.0008721699,160,1,0,1,0,1,0
1771684943524000,1771684943524000,1771684943372000,1310988,-2.3575055e-06,-0.0003251955,-0.00014264647,0.15,1.8515125e-07,1.8345015e-07,2.3059342e-06,1310988,0.0005632712,-0.005613,0.0008949531,0.4,0.027100809,0.02704869,4.9890426e-05,197388,-0.00094890734,-6.43866e-05,0.00016450351,0.5,0.00071592175,0.0015974693,0.0007120481,160,1,0,1,0,1,0
1771684943860000,1771684943860000,1771684943708000,1310988,1.1641392e-05,-0.0003174591,-0.00013955528,0.15,1.8377622e-07,1.821511e-07,2.3082414e-06,1310988,0.0005233267,-0.005602632,0.0009611981,0.4,0.027094899,0.027041124,4.9137132e-05,197388,-0.00014369705,-7.632259e-05,-0.0005625894,0.5,0.0006967877,0.001591913,0.0006927972,160,1,0,1,0,1,0
1771684944404000,1771684944404000,1771684944252000,1310988,2.8883918e-05,-0.00030828005,-0.00013387694,0.15,1.8077048e-07,1.7932486e-07,2.3117768e-06,1310988,-0.00018865649,-0.0048398757,0.0010674526,0.4,0.027064394,0.027000897,4.78174e-05,197388,0.00034022034,6.319258e-05,-0.00081044825,0.5,0.0006795672,0.0015830897,0.00067543413,160,1,0,1,0,1,0
1771684944772000,1771684944772000,1771684944620000,1310988,3.9358143e-05,-0.00030090963,-0.00013169133,0.15,1.791003e-07,1.7781085e-07,2.3140503e-06,1310988,-0.0011060075,-0.0042454614,0.0011584563,0.4,0.027028121,0.026948813,4.701473e-05,197388,0.00033271135,5.2682546e-05,-0.0004962664,0.5,0.00067284337,0.0015740908,0.00066863856,160,1,0,1,0,1,0
1771684945084000,1771684945084000,1771684944932000,1310988,4.6845566e-05,-0.00029125356,-0.00012954071,0.15,1.7770657e-07,1.7656699e-07,2.315715e-06,1310988,-0.002006558,-0.0037405775,0.0012297017,0.4,0.026988264,0.026891265,4.6348585e-05,197388,0.00030983737,-2.5353253e-05,-0.00061675045,0.5,0.0006678169,0.0015650332,0.00066356093,160,1,0,1,0,1,0
1771684945492000,1771684945492000,1771684945340000,1310988,5.2584423e-05,-0.00028441756,-0.00013274774,0.15,1.765229e-07,1.7555233e-07,2.3177045e-06,1310988,-0.0029119512,-0.0033169866,0.0013092788,0.4,0.0269342,0.026815329,4.5597008e-05,197388,0.00026592863,-0.00022460494,-0.0001897876,0.5,0.0006632361,0.0015555454,0.00065893447,160,1,0,1,0,1,0
1771684945756000,1771684945756000,1771684945604000,1310988,5.85683e-05,-0.0002759723,-0.00013443119,0.15,1.7490807e-07,1.740609e-07,2.3190341e-06,1310988,-0.0039642523,-0.0030298368,0.0014028556,0.4,0.026883325,0.026746867,4.4970267e-05,197388,0.0003172753,-0.00035872878,-0.0001970631,0.5,0.0006613639,0.0015497303,0.00065704435,160,1,0,1,0,1,0
1771684946020000,1771684946020000,1771684945868000,1310988,6.33066e-05,-0.00026743062,-0.00013937087,0.15,1.7396081e-07,1.7317734e-07,2.3199711e-06,1310988,-0.00499014,-0.0027486132,0.0014728248,0.4,0.026840065,0.026691118,4.4462635e-05,197388,0.00034295558,-0.0005134984,-0.00013017908,0.5,0.0006591964,0.001546454,0.00065486034,160,1,0,1,0,1,0
1771684946276000,1771684946276000,1771684946124000,1310988,6.6968765e-05,-0.0002593831,-0.00013941762,0.15,1.7299824e-07,1.7223856e-07,2.3206562e-06,1310988,-0.0059504337,-0.0024514007,0.0015355344,0.4,0.0267974,0.026638472,4.3966615e-05,197388,0.00036138835,-0.00047801086,-0.00019184343,0.5,0.0006573302,0.0015443676,0.0006529834,160,1,0,1,0,1,0
1771684946540000,1771684946540000,1771684946388000,1310988,7.0868664e-05,-0.0002508877,-0.00013794687,0.15,1.7214298e-07,1.7136499e-07,2.3212033e-06,1310988,-0.006970176,-0.0019740448,0.0015936675,0.4,0.026755845,0.026588343,4.3482127e-05,197388,0.00049343554,-0.00032114773,-0.00017772688,0.5,0.0006557032,0.0015424713,0.0006513551,160,1,0,1,0,1,0
1771684946748000,1771684946748000,1771684946596000,1310988,7.577905e-05,-0.00024396116,-0.0001396008,0.15,1.7146343e-07,1.7065364e-07,2.321549e-06,1310988,-0.007833272,-0.001460063,0.0016526759,0.4,0.02672424,0.026551286,4.3102402e-05,197388,0.0005411887,-0.00019473002,-5.938756e-05,0.5,0.00065461325,0.0015410712,0.00065026927,160,1,0,1,0,1,0
1771684947004000,1771684947004000,1771684946852000,1310988,8.0243255e-05,-0.00023514783,-0.00013790354,0.15,1.706163e-07,1.6975808e-07,2.3216428e-06,1310988,-0.0088817915,-0.00091295684,0.0017163069,0.4,0.02668777,0.026509117,4.2637268e-05,197388,0.00054384687,-4.726252e-06,6.227765e-05,0.5,0.0006533017,0.0015393569,0.00064897176,160,1,0,1,0,1,0
